KEY,NOTES,ENGLISH,FRENCH,SPANISH,GERMAN,ITALIAN,PORTUGUESE BR,PORTUGUESE,RUSSIAN,POLISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH
MENU.NEW_GAME,,Start new game,Nouvelle partie,Comenzar partida nueva,Neues Spiel beginnen,Nuova partita,Começar outro jogo,Iniciar novo jogo,Начать новую игру,Nowa gra,Nieuw spel starten,Starta ett nytt spel,Start nytt spill,Új játék,Aloita uusi peli
MENU.OPTIONS,,Options,Options,Opciones,Optionen,Opzioni,Opções,Opções,Настройки,Ustawienia,Instellingen,Inställningar,Innstillinger,Beállítások,Asetukset
MENU.MODS,,Mods,,,,,,,,,,,,,
MENU.QUIT,,Quit,Quitter,Salir,Beenden,Esci,Sair,Sair,Выйти,Wyjdź,Afsluiten,Avsluta,Avslutt,Kilépés,Lopeta
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,Plein écran,Pantalla completa (sí/no),Auf Vollbildschirm umstellen,Attiva/Disattiva schermo intero,Alternar tela cheia,Alternar ecrã inteiro,Во весь экран,Pełen ekran,Volledig scherm in-/uitschakelen,Växla helskärm,Skru fullskjerm på/av,Teljes képernyő,Vaihda koko näyttöön
,,,,,,,,,,,,,,,
METAL.BRONZE.ADJECTIVE,,Bronze,en bronze,De bronce,Bronze,di bronzo,de bronze,De bronze,(бронза),Brązowy,Bronzen,Brons-,Bronse,Bronz,Pronssinen
METAL.BRONZE.NOUN,,Bronze,Bronze,Bronce,Bronze,Bronzo,de bronze,Bronze,Бронза,Brąz,Brons,Brons,Bronse,Bronz,Pronssi
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),,,,,,,,,,,,,
METAL.COPPER.ADJECTIVE,,Copper,en cuivre,De cobre,Kupfer,di rame,de cobre,De cobre,(медь),Miedziany,Koperen,Koppar-,Kobber,Réz,Kuparinen
METAL.COPPER.NOUN,,Copper,Cuivre,Cobre,Kupfer,Rame,de cobre,Cobre,Медь,Miedź,Koper,Koppar,Kobber,Réz,Kupari
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.",,,,,,,,,,,,,
METAL.COPPER_PATINA.ADJECTIVE,,Copper,en cuivre,De cobre,Kupfer,di rame,de cobre,De cobre,(медь),Miedziany,Koperen,Koppar-,Kobber,Réz,Kuparinen
METAL.COPPER_PATINA.NOUN,,Copper (Patina),,,,,,,,,,,,,
METAL.COPPER_PATINA.TOOLTIP,,{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}}
METAL.GOLD.ADJECTIVE,,Golden,en or,De oro,Gold,d'oro,de ouro,De ouro,(золото),Złoty,Gouden,Guld-,Gull,Arany,Kultainen
METAL.GOLD.NOUN,,Gold,Or,Oro,Gold,Oro,Ouro,Ouro,Золото,Złoto,Goud,Guld,Gull,Arany,Kulta
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.",,,,,,,,,,,,,
METAL.IRON.ADJECTIVE,,Iron,en fer,De hierro,Eisen,di ferro,de ferro,De ferro,(железо),Żelazny,Ijzeren,Järn-,Jern,Vas,Rautainen
METAL.IRON.NOUN,,Iron,Fer,Hierro,Eisen,Ferro,de ferro,Ferro,Железо,Żelazo,Ijzer,Järn,Jern,Vas,Rauta
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,,,,,,,,,,,,,
METAL.SILVER.NOUN,,Silver,Argent,Plata,Silber,Argento,Prata,Prata,Серебро (серебро),Srebro,,,,,
METAL.SILVER.ADJECTIVE,,Silver,,,,,,,,,,,,,
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",,,,,,,,,,,,,
METAL.STEEL.ADJECTIVE,,Steel,en acier,De acero,Stahl,d'acciaio,de aço,De aço,(сталь),Stalowy,Stalen,Stål-,Stål,Acél,Teräksinen
METAL.STEEL.NOUN,,Steel,Acier,Acero,Stahl,Acciaio,de aço,Aço,Сталь,Stal,Staal,Stål,Stål,Acél,Teräs
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.",,,,,,,,,,,,,
METAL.TIN.NOUN,,Tin,Étain,Hojalata,Zinn,Alluminio,Estanho,Latão,Олово (олово),Cyna,,,,,
METAL.TIN.ADJECTIVE,,Tin,,,,,,,,,,,,,
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),,,,,,,,,,,,,
METAL.PLATINUM.ADJECTIVE,,Platinum,,,,,,,,,,,,,
METAL.PLATINUM.NOUN,,Platinum,,,,,,,,,,,,,
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,,,,,,,,,,,,,
METAL.RUSTED_IRON.ADJECTIVE,,Rusted iron,,,,,,,,,,,,,
METAL.RUSTED_IRON.NOUN,,Rust,,,,,,,,,,,,,
METAL.RUSTED_IRON.TOOLTIP,,Iron turns to rust when exposed to rain for a long period. Eventually this will decay completely!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MODS.APPLY,,Apply,,,,,,,,,,,,,
MODS.TABLE.ORDERING,,Re-order,,,,,,,,,,,,,
MODS.TABLE.ENABLED,,Enabled?,,,,,,,,,,,,,
MODS.TABLE.NAME,,Mod Name,,,,,,,,,,,,,
MODS.TABLE.VERSION,,Mod Version,,,,,,,,,,,,,
MODS.TABLE.COMPATIBILITY,,Compatible?,,,,,,,,,,,,,
MODS.COMPATIBILITY.COMPATIBLE,,Yes,,,,,,,,,,,,,
MODS.COMPATIBILITY.INCOMPATIBLE,,No,,,,,,,,,,,,,
MODS.COMPATIBILITY.UNKNOWN,,Unknown,,,,,,,,,,,,,
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,,,,,,,,,,,,,
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NEEDS.DRINK,,Drink,,,,,,,,,,,,,
NEEDS.FOOD,,Food,,,,,,,,,,,,,
NEEDS.SLEEP,,Sleep,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,,,,,,,,,,,,,
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,,,,,,,,,,,,,
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,,,,,,,,,,,,,
NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,,,,,,,,,,,,,
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,,,,,,,,,,,,,
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,,,,,,,,,,,,,
NOTIFICATION.ROOFING_COLLAPSE.TITLE,,Roof collapsed,,,,,,,,,,,,,
NOTIFICATION.ROOFING_COLLAPSE.DESCRIPTION,,A roof has collapsed due to a lack of pillars and supports.,,,,,,,,,,,,,
NOTIFICATION.DEATH.TITLE,,Settler death,,,,,,,,,,,,,
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.",,,,,,,,,,,,,
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},,,,,,,,,,,,,
NOTIFICATION.GAME_OVER.TITLE,,Game Over,,,,,,,,,,,,,
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,,,,,,,,,,,,,
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,,,,,,,,,,,,,
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,,,,,,,,,,,,,
NOTIFICATION.FIRE_STARTED.TITLE,,Fire!,,,,,,,,,,,,,
NOTIFICATION.FIRE_STARTED.DESCRIPTION,,A fire has broken out in your settlement!,,,,,,,,,,,,,
NOTIFICATION.OXIDISATION_DESTRUCTION.TITLE,,"Rusted away",,,,,,,,,,,,,
NOTIFICATION.OXIDISATION_DESTRUCTION.DESCRIPTION,,"An item or piece of furniture has been destroyed due to prolonged exposure to rain.\nSome materials such as iron and steel should not be left outside for a long period.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,,De carbón bituminoso,,di carbone bituminoso,,,,,,,,,
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Charbon bitumineux,Carbón bituminoso,Steinkohle,Carbone bituminoso,Carvão betuminoso,Hematite,Каменный уголь,Węgiel bitumiczny,Bitumineuze steenkool,Stenkol,Steinkull,Bitumenes szén,Rasvahiili
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,,,,,,,,,,,,,
ORE.CHARCOAL.ADJECTIVE,,Charcoal,,,,,,,,,,,,,
ORE.CHARCOAL.NOUN,,Charcoal,,,,,,,,,,,,,
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,,,,,,,,,,,,,
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,,De casiterita,,di cassiterite,,,,,,,,,
ORE.CASSITERITE.NOUN,,Cassiterite,Cassitérite,Casiterita,Kassiterit,Cassiterite,Cassiterita,Cassiterite,Касситерит,Kasyteryt,Cassiteriet,Kassiterit,Kassiteritt,Kassziterit,Tinakivi
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,,,,,,,,,,,,,
ORE.GALENA.ADJECTIVE,,Galena,,De galena,,di galena,,,,,,,,,
ORE.GALENA.NOUN,,Galena,Galène,Galena,Galenit,Galena,Galena,Galena,Галенит,Galena,Loodglans,Blyglans,Blyglans,Galenit,Lyijyhohde
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,,,,,,,,,,,,,
ORE.HEMATITE.ADJECTIVE,,Hematite,,De hematita,,di ematite,,,,,,,,,
ORE.HEMATITE.NOUN,,Hematite,Hématite,Hematita,Hämatit,Ematite,Hematita,Hematite,Гематит,Hematyt,Hematiet,Hematit,Hematitt,Hematit,Hematiitti
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,,,,,,,,,,,,,
ORE.MALACHITE.ADJECTIVE,,Malachite,,De malaquita,,di malachite,,,,,,,,,
ORE.MALACHITE.NOUN,,Malachite,Malachite,Malaquita,Malachit,Malachite,Malaquita,Malaquite,Малахит,Malachit,Malachiet,Malakit,Malakitt,Malachit,Malakiitti
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,,,,,,,,,,,,,
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,,De cobre nativo,,di rame nativo,,,,,,,,,
ORE.NATIVE_COPPER.NOUN,,Native copper,Cuivre,Cobre nativo,Reinkupfer,Rame nativo,Cobre nativo,Cobre nativo,Самородная медь,Miedź rodzima,Gedegen koper,Koppar,Naturkobber,Termésréz,Pelkkä kupari
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,,,,,,,,,,,,,
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,,De oro nativo,,d'oro nativo,,,,,,,,,
ORE.NATIVE_GOLD.NOUN,,Native gold,Or,Oro nativo,Reingold,Oro nativo,Ouro nativo,Ouro nativo,Самородное золото,Złoto rodzime,Gedegen goud,Guldklimp,Naturgull,Termésarany,Pelkkä kulta
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,,,,,,,,,,,,,
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,,,,,,,,,,,,,
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,,,,,,,,,,,,,
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,,,,,,,,,,,,,
ORE.PYRITE.ADJECTIVE,,Fool's gold,,,,,,,,,,,,,
ORE.PYRITE.NOUN,,Fool's gold,,,,,,,,,,,,,
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.",,,,,,,,,,,,,
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,,De plata nativa,,d'argento nativo,,,,,,,,,
ORE.NATIVE_SILVER.NOUN,,Native silver,Argent,Plata nativa,Reinsilber,Argento nativo,Prata nativa,Prata nativa,Самородное серебро,Srebro rodzime,Gedegen zilver,Silver,Natursølv,Termésezüst,Pelkkä hopea
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,,,,,,,,,,,,,
ORE.COKE.ADJECTIVE,,Coke,,,,,,,,,,,,,
ORE.COKE.NOUN,,Coke,,,,,,,,,,,,,
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,,,,,,,,,,,,,
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,,,,,,,,,,,,,
ORE.WOLFRAMITE.NOUN,,Wolframite,,,,,,,,,,,,,
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,,,,,,,,,,,,,
ORE.THORIUM.ADJECTIVE,,Thorium,,,,,,,,,,,,,
ORE.THORIUM.NOUN,,Thorium,,,,,,,,,,,,,
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,,,,,,,,,,,,,
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,,,,,,,,,,,,,
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,,,,,,,,,,,,,
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.",,,,,,,,,,,,,
ORE.POLLUCITE.ADJECTIVE,,Pollucite,,,,,,,,,,,,,
ORE.POLLUCITE.NOUN,,Pollucite,,,,,,,,,,,,,
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.",,,,,,,,,,,,,
ORE.ILMENITE.ADJECTIVE,,Ilmenite,,,,,,,,,,,,,
ORE.ILMENITE.NOUN,,Ilmenite,,,,,,,,,,,,,
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",,,,,,,,,,,,,
ORE.BAUXITE.ADJECTIVE,,Bauxite,,,,,,,,,,,,,
ORE.BAUXITE.NOUN,,Bauxite,,,,,,,,,,,,,
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
OTHER.BRICK.NOUN,,Brick,Brique,Ladrillo,Backstein,Mattone,Tijolo,Tijolo,Кирпич,Cegła,Baksteen,Tegelsten,Murstein,Tégla,Tiili
OTHER.CLAY_SOIL.NOUN,,Clay soil,Argile,Arcilla,Lehmboden,Terreno argilloso,Solo de argila,Solo argiloso,Глинозем,Glina,Klei,Lerjord,Leire,Agyagos talaj,Savimaa
OTHER.GRASS.NOUN,,,Herbe,Hierba,Gras,Erba,,Erva,Трава,Trawa,Gras,Gräs,Gress,,Ruoho
OTHER.ASH,,Charred,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PRIORITY.HIGHEST,,Highest,,,,,,,,,,,,,
PRIORITY.HIGHER,,Higher,,,,,,,,,,,,,
PRIORITY.NORMAL,,Normal,,,,,,,,,,,,,
PRIORITY.LOWER,,Lower,,,,,,,,,,,,,
PRIORITY.LOWEST,,Lowest,,,,,,,,,,,,,
PRIORITY.DISABLED,,Disabled,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to",,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_4,, ,,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_7,,- Your operating system,,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_9,,- Your options settings,,,,,,,,,,,,,
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,,,,,,,,,,,,,
PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,,,,,,,,,,,,,
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PRODUCT.ANVIL,,Anvil,,,,,,,,,,,,,
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,,,,,,,,,,,,,
PRODUCT.BARREL.NOUN,,Barrel,Tonneau,Barril,Fass,Barile,Barril,Barril,Бочка,Beczka,,,,,
PRODUCT.BARREL.PLURAL,,Barrels,,,,,,,,,,,,,
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,,,,,,,,,,,,,
PRODUCT.BARREL.HOOPS,,Barrel hoops,Cercles de tonneau,Aros para barril,Fassreifen,Cerchi da barile,Arcos de barril,Aros de barril,Обручи бочки,Obręcze beczek,,,,,
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,,,,,,,,,,,,,
PRODUCT.BARREL.STAVES,,Barrel staves,Lattes de tonneau,Duelas para barril,Fassdauben,Assi da barile,Aduelas de barril,Pranchas de barril,Бочарные клепки,Deszczułki beczek,,,,,
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,,,,,,,,,,,,,
PRODUCT.BREAD.DOUGH.NOUN,,Dough,,,,,,,,,,,,,
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,,,,,,,,,,,,,
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,,,,,,,,,,,,,
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Pain :,Pan,Brot,Pane,Pão,Pão,Хлеб:,Chleb,,,,,
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Pain :,Pan,Brot,Pane,Pão,Pão,Хлеб:,Chleb,,,,,
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!",,,,,,,,,,,,,
PRODUCT.BUCKET.NOUN,,Bucket,Seau,Cubo,Eimer,Secchio,Balde,Balde,Ведро,Wiadro,,,,,
PRODUCT.BUCKET.PLURAL,,Buckets,,,,,,,,,,,,,
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,,,,,,,,,,,,,
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Chaudron,Caldero,Kessel,Calderone,Caldeirão,Caldeirão,Котел,Kocioł,,,,,
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.",,,,,,,,,,,,,
PRODUCT.BOWL,A bowl for eating from,Bowl,Bol,Cuenco,Schale,Ciotola,Tigela,Tijela,Миска,Miska,,,,,
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Bol de {{cooking.soup.description}},Cuenco de {{cooking.soup.description}},Schale mit {{cooking.soup.description}},Ciotola di {{cooking.soup.description}},Tigela de {{cooking.soup.description}},Tijela de {{cooking.soup.description}},Миска с супом ({{cooking.soup.description}}),Miska {{cooking.soup.description}},,,,,
PRODUCT.RATION.NOUN,,Ration,,,,,,,,,,,,,
PRODUCT.RATION.PLURAL,,Rations,,,,,,,,,,,,,
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.",,,,,,,,,,,,,
PRODUCT.MILLSTONE,,Millstone,,,,,,,,,,,,,
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,,,,,,,,,,,,,
PRODUCT.LIQUID.TANK,,Tank,,,,,,,,,,,,,
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",,,,,,,,,,,,,
PRODUCT.STONE.GEAR.NOUN,,Gear,,,,,,,,,,,,,
PRODUCT.STONE.GEAR.PLURAL,,Gears,,,,,,,,,,,,,
PRODUCT.STONE.GEAR.TOOLTIP,,"Used in the construction of mechanisms.",,,,,,,,,,,,,
PRODUCT.STONE.PIPE.NOUN,,Pipe,,,,,,,,,,,,,
PRODUCT.STONE.PIPE.PLURAL,,Pipes,,,,,,,,,,,,,
PRODUCT.STONE.PIPE.TOOLTIP,,"Used for liquids to flow between tiles underground.",,,,,,,,,,,,,
PRODUCT.WOODEN.SHAFT.VERTICAL.NOUN,,Vertical shaft,,,,,,,,,,,,,
PRODUCT.WOODEN.SHAFT.VERTICAL.PLURAL,,Vertical shafts,,,,,,,,,,,,,
PRODUCT.WOODEN.SHAFT.VERTICAL.TOOLTIP,,"Used to connect mechanisms which produce and require power.",,,,,,,,,,,,,
PRODUCT.WOODEN.SHAFT.HORIZONTAL.NOUN,,Horizontal shaft,,,,,,,,,,,,,
PRODUCT.WOODEN.SHAFT.HORIZONTAL.PLURAL,,Horizontal shafts,,,,,,,,,,,,,
PRODUCT.WOODEN.SHAFT.HORIZONTAL.TOOLTIP,,"Used to connect mechanisms which produce and require power.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PROFESSION.BAKER.VERB,,Baking,Fabriquant,Horneando,Backt,Sta cuocendo,Assando,Cozer,Выпекание,Piec,Bakken,Bakning,Baker,Sütni,Leivonta
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Cuisinière,Cocinera,Köchin,Chef,Chef,Chef,Повариха,Kucharz,,,,,
PROFESSION.CHEF.MALE_NOUN,,Chef,Cuisinier,Cocinero,Koch,Chef,Chef,Chef,Повар,Kucharz,,,,,
PROFESSION.CHEF.VERB,,Cooking,Cuisinant,Cocinando,Kocht,Sta cucinando,Cozinhando,A cozinhar,Приготовление еды,Gotować,,,,,
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,,,,,,,,,,,,,
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Forgeronne,Herrera,Schmiedin,Fabbro,Ferreira,Ferreira,Кузнец,Kowalka,Smid,Smed,Smed,Kovács,Seppä
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Forgeron,Herrero,Schmied,Fabbro,Ferreiro,Ferreiro,Кузнец,Kowal,Smid,Smed,Smed,Kovács,Seppä
PROFESSION.BLACKSMITH.VERB,,Forging,Forgeant,Forjando,Schmiedet,Sta forgiando,Forjando,Forjar,Ковка,Wykuwać,Smeden,Smida,Smir,Kovácsolni,Taonta
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,,,,,,,,,,,,,
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,,,,,,,,,,,,,
PROFESSION.BREWER.MALE_NOUN,,Brewer,,,,,,,,,,,,,
PROFESSION.BREWER.VERB,,Brewing,,,,,,,,,,,,,
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,,,,,,,,,,,,,
PROFESSION.BREWER.VERB,,Brewing,,,,,,,,,,,,,
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Menuisière,Carpintera,Schreinerin,Artigiana,Carpinteira,Carpinteira,Плотник,Stolarka,Timmervrouw,Snickare,Snekker,Ács,Puuseppä
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Menuisier,Carpintero,Schreiner,Artigiano,Carpinteiro,Carpinteiro,Плотник,Stolarz,Timmerman,Snickare,Snekker,Ács,Puuseppä
PROFESSION.CARPENTER.VERB,,Crafting,Élaborant,Fabricando,Schreinert,Sta producendo,Carpintejando,Trabalhar em madeira,Изготовление,Tworzyć,Vervaardigen,Snickra,Bygger,Ácsolni,Valmistus
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,,,,,,,,,,,,,
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Fermière,Granjera,Bäuerin,Coltivatrice,Fazendeira,Agricultora,Фермер,Farmerka,Boerin,Lantbrukare,Bonde,Földműves,Maanviljelijä
PROFESSION.FARMER.MALE_NOUN,,Farmer,Fermier,Granjero,Bauer,Coltivatore,Fazendeiro,Agricultor,Фермер,Farmer,Boer,Lantbrukare,Bonde,Földműves,Maanviljelijä
PROFESSION.FARMER.VERB,,Farming,Cultivant,Cosechando,Erntet,Sta coltivando,Cultivando,Cultivar,Выращивание,Uprawiać,Boeren,Odla,Dyrker,Földet művelni,Maanviljely
PROFESSION.FARMER.PLURAL,,Farmers,,,,,,,,,,,,,
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.",,,,,,,,,,,,,
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Pêcheuse,Pescadora,Fischerin,Pescatrice,Pescadora,Pescadora,Рыбачка,Rybaczka,Visser,Fiskare,Fisker,Halász,Kalastaja
PROFESSION.FISHER.MALE_NOUN,,Fisher,Pêcheur,Pescador,Fischer,Pescatore,Pescador,Pescador,Рыбак,Rybak,Visser,Fiskare,Fisker,Halász,Kalastaja
