KEY,NOTES,ENGLISH,PORTUGUESE
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,Um cogumelo preto-azul com um sabor metálico. É nomeado para um grupo de bardos da era das trevas.
SEED.GLOW_SPAWN,,Glow,Brilhar
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,Um cogumelo com infusão de magia que emite luz e muda de cor com as estações.
SEED.HOPS_SEED,,Hops,Lúpulo
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,Uma flor usada para o sabor da cerveja. Deve ser plantado em {{SEASON.SPRING}}.
SEED.MILTONIA_SPAWN,,Miltonia,Miltonia
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.","Uma vez que se pensa existir apenas na região de Hudds, ela é agora encontrada em todo o mundo."
SEED.POTATO_SEED,,Potato,Batata
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Um vegetal de raiz amido que pode sobreviver {{SEASON.WINTER}} tornando-o uma boa escolha para a maioria dos assentamentos. Pode ser plantada em {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTUMN}}."
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,Capacete roxo
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.","Gordo Hat, Turbante Gordo, Capacete Puffy; Este cogumelo lendário passa por muitos nomes. A lenda afirma que há muito tempo, muitas comunidades de anões subsistiram inteiramente em uma estirpe domesticada deste fungo."
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,Rociomicota
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,Um cogumelo branco e preto manchado. Sabe-se que afecta a aparência daqueles que o ingerem.
SEED.SUNGLOW_SPAWN,,Sunglow,Brilho
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,Um cogumelo amarelo brilhante que brilha com a aparência da luz solar. Perde este brilho no momento em que é colhida.
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,Xarope em pó
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.","Um cogumelo laranja/amarelo redondo com uma parte inferior branca. Dizem que foi usado por magos há muito tempo, mas para que propósito, ninguém sabe."
SEED.TOMATO_SEED,,Tomato,Tomate
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,Uma planta que cresce grandes bagas vermelhas muitas vezes usado como um vegetal. Só pode ser plantada em {{SEASON.SPRING}}.
SEED.WHEAT_SEED,,Wheat,Trigo
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.","Um grão de cereais geralmente usado para a produção de pão. Ela pode sobreviver a {{SEASON.WINTER}}, mas leva um tempo para crescer, então é plantada em {{SEASON.SPRING}} ou {{SEASON.AUTUMN}}."

SHRUB.DESCRIPTION,Shrub or bush should do,Bush,Arbusto

STOCKPILE.GRANARY,,Granary,Celeiro
STOCKPILE.GRANARY.TOOLTIP,,Stores grains and seeds which will not expire.,Armazena grãos e sementes que não expirarão.
STOCKPILE.PANTRY,,Pantry,Despensa
STOCKPILE.PANTRY.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,Armazena frutas e legumes colhidos que podem expirar.
STOCKPILE.RESOURCES,,Resources,Recursos
STOCKPILE.RESOURCES.TOOLTIP,,Stores most kinds of resources which do not belong to other types of stockpiles.,Armazena a maioria dos tipos de recursos que não pertencem a outros tipos de estoques.
STOCKPILE.TOOLS,,Tools,Ferramentas
STOCKPILE.TOOLS.TOOLTIP,,Stores tools required for working on jobs.,Armazena ferramentas necessárias para trabalhar em trabalhos.

STONE.BASALT.ADJECTIVE,,Basalt,De basalto
STONE.BASALT.NOUN,,Basalt,Basalto
STONE.BASALT.TOOLTIP,,An igneous rock formed by the rapid cooling of lava. Almost all of the volcanic rock in the world is basalt.,Uma rocha ígnea formada pelo rápido resfriamento da lava. Quase toda a rocha vulcânica no mundo é basalto.
STONE.DOLOSTONE.ADJECTIVE,,Dolostone,De dolomito
STONE.DOLOSTONE.NOUN,,Dolostone,Dolomito
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.","Uma rocha sedimentar composta principalmente pela dolomita mineral, por isso também é conhecida como rocha dolomita."
STONE.FRONITE.ADJECTIVE,,Frónite,Frónite
STONE.FRONITE.NOUN,,Frónite,Frónite
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,Uma rocha de tons azuis encontrada principalmente em uma ilha gelada ao norte. Tem um alto teor de ferro.
STONE.GRANITE.ADJECTIVE,,Granite,De granito
STONE.GRANITE.NOUN,,Granite,Granito
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.","Um tipo comum de rocha ígnea. Tem uma grande proporção de quartzo, tornando-o bom para localizar certas pedras preciosas."
STONE.LIMESTONE.ADJECTIVE,,Limestone,De calcário
STONE.LIMESTONE.NOUN,,Limestone,Calcário
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,Uma rocha sedimentar de cor clara que faz um bom material de construção. Também é usado como um fluxo na produção de {{METAL.STEEL.NOUN}}.
STONE.MARBLE.ADJECTIVE,,Marble,De mármore
STONE.MARBLE.NOUN,,Marble,Mármore
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,Uma rocha metamórfica que é usada como material de alta qualidade para escultura e alvenaria devido à sua aparência brilhante.
STONE.SANDSTONE.ADJECTIVE,,Sandstone,De arenito
STONE.SANDSTONE.NOUN,,Sandstone,Arenito
STONE.SANDSTONE.TOOLTIP,,"A sedimentary rock composed of sand-like fragments. ",Uma rocha sedimentar composta por fragmentos de areia.
STONE.SHALE.ADJECTIVE,,Shale,De xisto
STONE.SHALE.NOUN,,Shale,Xisto
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,Uma rocha sedimentar de grão fino composta de lama pressurizada. Pode ser facilmente quebrado em camadas finas.
STONE.SLATE.ADJECTIVE,,Slate,De ardósia
STONE.SLATE.NOUN,,Slate,Ardósia
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,"Uma rocha metamórfica que geralmente é formada a partir de {{STONE.SHALE.NOUN}}. Muitas vezes, é feito em azulejos para telhados ou escrita."

TOOL.AXE.NOUN,,Axe,Machado
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,Costumava cortar árvores. A ferramenta principal de um {{PROFISSION.WOODCUTTER}}.
TOOL.CHISEL.NOUN,,Chisel,Formão
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,Usado para esculpir rocha em forma. Uma das ferramentas usadas por um {{PROFISSION.STONEMASON}}.
TOOL.FISHING.ROD.NOUN,,Fishing rod,Cana de pesca
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,Usado para pegar peixes de um corpo de água. A ferramenta primária de um {{PROFISSION.FISHER}}.
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,Faca de cozinha
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.","Usado para preparar alimentos, particularmente carne."
TOOL.LARGE.HAMMER.NOUN,,Large hammer,Martelo grande
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,Usado para bater grandes itens de pedra e metal em forma. A ferramenta principal de um {{PROFISSION.BLACKSMITH}}.
TOOL.PICKAXE.NOUN,,Pickaxe,Picareta
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,Usado para quebrar pedra em pedaços menores. A ferramenta principal de um {{profession.miner}}.
TOOL.PLANE.NOUN,A carpenter's plane,Plane,Plaina
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,Usado para raspar móveis de madeira e itens em forma. A ferramenta principal de um {{PROFISSION.CARPENTER}}.
TOOL.ROLLING.PIN.NOUN,,Rolling pin,Rolo da massa
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,Usado para preparar massa. Uma das ferramentas usadas por um {{PROFISSION.CHEF}}.
TOOL.SAW.NOUN,A carpenter's saw,Saw,Serrote
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,Usado para cortar madeira em forma. Necessário para cortar madeira no {{ROOMS.SAWMILL}}.
TOOL.SMALL.HAMMER.NOUN,,Hammer,Martelo
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,Usado para bater pequenos itens de pedra e metal em forma. Uma das ferramentas usadas por um {{PROFISSION.BLACKSMITH}}.
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,Tenazes
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,Usado para armazenar itens de metal extremamente quentes. Usado no processo de fundição de minério metálico.

TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,Árvore de {{materialType.noun}}

TUTORIAL.1.A,,"Your settlers have three basic needs to fulfil: food, drink and somewhere to sleep. Although they will complain about it for now, they can drink from the nearby river and sleep on the ground. What they can’t do is magic up some food from nowhere (at least, not without a mage around!) so we will focus on food to begin with.","Seus colonos têm três necessidades básicas a satisfazer: comida, bebida e um lugar para dormir. Embora eles se queixem sobre isso por enquanto, eles podem beber do rio vizinho e dormir no chão. O que eles não podem fazer é mágica até alguns alimentos do nada (pelo menos, não sem um mago por perto!) então vamos nos concentrar em alimentos para começar."
TUTORIAL.1.B,,"The first thing you should do each spring is ensure that enough crops have been planted for the harvest in autumn. Farming is a reliable and sustainable food source, but you need to make sure you have enough crops to feed your population between each annual harvest.","A primeira coisa que você deve fazer a cada primavera é garantir que culturas suficientes foram plantadas para a colheita no outono. A agricultura é uma fonte de alimentos confiável e sustentável, mas você precisa ter certeza de que tem culturas suficientes para alimentar sua população entre cada colheita anual."
TUTORIAL.1.C,,"A good rule of thumb to follow is to ensure you have 10 tiles of crops being sown for each settler in your population. Currently there are 7 settlers milling around, so go ahead and click “{{GUI.ZONES_LABEL}}” > “{{ROOMS.FARM}}”, and designate / drag out several farm plots on a grassy area.","Uma boa regra a seguir é garantir que você tenha 10 telhas de culturas sendo semeadas para cada colono em sua população. Atualmente, há 7 colonos movendo ao redor, então vá em frente e clique em “{{GUI.ZONES_LABEL}}” > “{{ROOMS.FARM}}”, e designe/arraste várias parcelas de fazenda em uma área gramada."
TUTORIAL.2.A,,"With nothing else to do, your settlers will start preparing these {{ROOMS.FARM.PLURAL}} by tilling the earth to be ready for seeds to be sown. This doesn’t require any special tools or knowledge so everyone should get involved.","Sem mais nada para fazer, seus colonos começarão a preparar estes {{ROOMS.FARM.PLURAL}} lavando a terra para que as sementes sejam semeadas. Isso não requer nenhuma ferramenta especial ou conhecimento, então todos devem se envolver."
TUTORIAL.2.B,,"This prepares the plot to be sown, but you need to select which crop to grow on each farm plot before a farmer will come and plant the relevant seeds. Your settlers have brought with them a selection of different seeds. You can click “Resources” in the upper-right to get a breakdown of all the items in your settlement.","Isso prepara a parcela a ser semeada, mas você precisa selecionar qual cultura crescer em cada parcela agrícola antes que um agricultor venha e plante as sementes relevantes. Seus colonos trouxeram consigo uma seleção de sementes diferentes. Você pode clicar em “Recursos” no canto superior direito para obter um detalhamento de todos os itens em seu acordo."
TUTORIAL.2.C,,"For the seeds to actually be available to your farmers, they need to be in a stockpile compared to being held in a dwarf’s inventory like they are currently. Click {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GRANARY}} (you can right-click to go back up to a previous menu) and designate an area to be used as a {{STOCKPILE.GRANARY}}, where seeds and grains are stored. ","Para que as sementes estejam realmente disponíveis para seus agricultores, eles precisam estar em um estoque comparado a ser mantidos em um estoque de anões como eles estão atualmente. Clique em {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GRANARY}} (você pode clicar com o botão direito do mouse para voltar para um menu anterior) e designar uma área a ser usada como {{STOCKPILE.GRANARY}}, onde sementes e grãos são armazenados."
TUTORIAL.2.D,,Your settlers have also brought a bunch of tools with them what will need moving around. From {{ROOMS.STOCKPILES}} also choose {{STOCKPILE.TOOLS}} and designate another area to be used to store tools.,
TUTORIAL.3.A,,"After some time your settlers should put items they are not using into stockpiles, like the seeds that are to be sown.","Depois de algum tempo seus colonos devem colocar itens que eles não estão usando em estoques, como as sementes que estão a ser semeadas."
TUTORIAL.3.B,,"Left-click on each of the {{ROOMS.FARM.PLURAL}} and select a crop to be planted there. Don’t select {{VEGETABLE.BARLEY}} or {{VEGETABLE.HOPS}} for now, as these crops are used in the production of beer, not food.","Clique com o botão esquerdo em cada um dos {{ROOMS.FARM.PLURAL}} e selecione uma colheita a ser plantada lá. Não selecione {{VEGETABLE.BARLEY}} ou {{VEGETABLE.HOPS}} por enquanto, pois essas culturas são usadas na produção de cerveja, não alimentos."
TUTORIAL.4.A,,Your {{PROFESSION.FARMER.PLURAL}} will now get to work sowing the seeds you have selected to these {{ROOMS.FARM.PLURAL}}. Sowing seeds does not require any special tools but you might want to assign more settlers as {{PROFESSION.FARMER.PLURAL}}. Left-click on a settler who is wandering around aimlessly.,"Seu {{PROFESSION.FARMER.PLURAL}} agora vai começar a trabalhar semeando as sementes que você selecionou para estes {{ROOMS.FARM.PLURAL}}. Semear sementes não requer nenhuma ferramenta especial, mas você pode querer atribuir mais colonos como {{PROFESSION.FARMER.PLURAL}}. Clique com o botão esquerdo em um colono que está vagando sem rumo."
TUTORIAL.4.B,,"Clicking on a settler lets you see their name, professions, inventory, needs and happiness. Click on the blank square button next to their other professions to set a 3rd and final profession as a {{PROFESSION.FARMER.NOUN}}.","Clicando em um colono permite que você veja seu nome, profissões, inventário, necessidades e felicidade. Clique no botão quadrado em branco ao lado de suas outras profissões para definir uma terceira e última profissão como {{PROFESSION.FARMER.NOUN}}."
TUTORIAL.4.C,,"Note that some jobs require the settler to have a specific tool in their inventory, and if none are available in the settlement they won’t work on the jobs that require it. For example, you can assign more settlers as a {{PROFESSION.WOODCUTTER}}, but they can’t chop down trees without an available {{TOOL.AXE.NOUN}}.","Observe que alguns trabalhos exigem que o colono tenha uma ferramenta específica em seu inventário e, se nenhum estiver disponível no acordo, não funcionará nos trabalhos que o exigem. Por exemplo, você pode atribuir mais colonos como {{PROFESSION.WOODCUTTER}}, mas eles não podem cortar árvores sem um {{TOOL.AXE.NOUN}} disponível."
TUTORIAL.5.A,,"Your crops will now grow and eventually be harvested by your {{PROFESSION.FARMER.PLURAL}} in the {{SEASON.AUTUMN}}. Some crops can be planted again later in the year and survive through the {{SEASON.WINTER}}, but some do not. To get the most out of your crops, it is best to produce soup from the vegetables harvested, or bread from grain.","Suas colheitas agora crescerão e, eventualmente, serão colhidas pelo seu {{PROFESSION.FARMER.PLURAL}} no {{SEASON.AUTUMN}}. Algumas culturas podem ser plantadas novamente no final do ano e sobreviver através do {{SEASON.WINTER}}, mas outras não. Para tirar o máximo proveito de suas colheitas, é melhor produzir sopa dos vegetais colhidos, ou pão de grãos."
TUTORIAL.5.B,,"Let’s get a {{ROOMS.KITCHEN}} set up to produce soup once your crops are ready. Go to the top level menu then {{GUI.ZONES_LABEL}} > {{ROOMS.KITCHEN}} and drag out a {{ROOMS.KITCHEN}} area. At this point in the development of King under the Mountain it does not matter if it is outside or indoors, but in the future you’ll want all your rooms to have a ceiling to protect them from the elements.","Vamos preparar um {{ROOMS.KITCHEN}} para produzir sopa assim que suas colheitas estiverem prontas. Vá para o menu de nível superior, em seguida, {{ZONES.LABEL}} > {{ROOMS.KITCHEN}} e arraste uma área {{ROOMS.KITCHEN}}. Neste ponto no desenvolvimento do Rei sob a Montanha, não importa se é fora ou dentro de casa, mas no futuro você vai querer que todos os seus quartos tenham um teto para protegê-los dos elementos."
TUTORIAL.5.C,,"Unlike farm plots, kitchens (and most other rooms) need furniture to function. Click “Furniture” when you have placed a kitchen zone and you’ll be presented with the furniture that can be added. To produce soup, you need to build a {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} and {{FURNITURE.CAULDRON}} in the same kitchen zone. Also, designate a {{STOCKPILE.PANTRY}} area to store any harvested crops.","Ao contrário das parcelas agrícolas, as cozinhas (e a maioria das outras salas) precisam de móveis para funcionar. Clique em “Móveis” quando você tiver colocado uma zona de cozinha e você será presenteado com os móveis que podem ser adicionados. Para produzir sopa, você precisa construir um {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} e {{FURNITURE.CAULDRON}} na mesma zona de cozinha. Além disso, designe uma área {{STOCKPILE.PANTRY}} para armazenar todas as culturas colhidas."
TUTORIAL.6.A,,"When your crops have been harvested, cooks will bring vegetables to the {{FURNITURE.KITCHEN_WORKTOP}} before adding them to the {{FURNITURE.CAULDRON}} with water and producing soup! Making soup and baking bread means your food supplies will go much further - a single vegetable will feed a dwarf for a single meal, but 3 vegetables cooked into soup will provide 12 meals!","Quando suas colheitas tiverem sido colhidas, os cozinheiros irão trazer legumes para o {{FURNITURE.KITCHEN_WORKTOP}} antes de adicioná-los ao {{FURNITURE.CHEFS_CAULDRON}} com água e produzir sopa! Fazer sopa e assar pão significa que seus suprimentos de alimentos irão muito mais longe - um único vegetal alimentará um anão para uma única refeição, mas 3 vegetais cozidos em sopa fornecerão 12 refeições!"
TUTORIAL.6.B,,"Eventually this kitchen will produce a cauldron full of steaming hot soup, but the cooks don’t like other dwarves getting in the way in their kitchen, so instead you need to have the soup brought to a feasting hall for the whole settlement to enjoy. Designate a feasting hall by clicking on {{GUI.ZONES_LABEL}} > {{ROOMS.FEASTING_HALL}}, then add a {{FURNITURE.CAULDRON}} to it. Note that a feasting hall cauldron won’t be placed until a cauldron containing thick, delicious soup is available.","Eventualmente, esta cozinha irá produzir um caldeirão cheio de sopa quente fumegante, mas os cozinheiros não gostam de outros anões ficando no caminho em sua cozinha, então em vez disso você precisa ter a sopa trazida para um salão de festas para todo o assentamento para desfrutar. Designe um salão de festas clicando em {{ZONES.LABEL}} > {{ROOMS.FEASTING_HALL}} e, em seguida, adicione um {{FURNITURE.CAULDRON}} a ele. Observe que um caldeirão de salão de festas não será colocado até que um caldeirão contendo sopa grossa e deliciosa esteja disponível."
TUTORIAL.7.A,,Over time you will want to expand your food production but this will keep our small settlement nourished for the upcoming winter - your settlers have brought rations to sustain them while the first crops grow.,"Ao longo do tempo, você vai querer expandir sua produção de alimentos, mas isso vai manter nosso pequeno assentamento nutrido para o próximo inverno - seus colonos trouxeram rações para sustentá-los enquanto as primeiras colheitas crescem."
TUTORIAL.7.B,,"Most items and furniture are produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} or {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. It’s important to maintain a large supply of these. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} are produced in a {{ROOMS.SAWMILL}}, and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} are crafted by a {{PROFESSION.STONEMASON}} in a {{ROOMS.MASONRY_WORKSHOP}}. Place one of each of these zones, and build a {{FURNITURE.WOODCUTTERS_BENCH}} and {{FURNITURE.STONEMASON_WORKBENCH}} in them.",A maioria dos itens e móveis são produzidos a partir de {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} ou {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. É importante manter um grande suprimento destes. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} são produzidos em {{ROOMS.SAWMILL}} e {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} são criados por um {{PROFESSION.STONEMASON}}. Coloque uma dessas zonas e construa um {{ROOMS.MASONRY_WORKSHOP}} e {{FURNITURE.WOODCUTTERS_BENCH}} nelas.
TUTORIAL.8.A,,"Now you are ready to produce {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}, but they require other resources to craft them - {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} and {{RESOURCE.STONE.UNREFINED.PLURAL}}. Fortunately these can usually be harvested from the game world quite easily.","Agora você está pronto para produzir {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} e {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} e {{MATERIAL_TYPE.WOOD.ADJECTIVE}}. Felizmente, estes geralmente podem ser colhidos do mundo do jogo com bastante facilidade."
TUTORIAL.8.B,,Select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}} and click-and-drag over trees to let your woodcutters know to cut them down. Similarly you can select select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} and click-and-drag an area of the mountain to designate to be mined. Select enough of both to build your stockpiles back up to 40 of each.,"Selecione {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}} e clique e arraste sobre as árvores para que seus lenhadores saibam para cortá-las. Da mesma forma, você pode selecionar {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} e clicar e arrastar uma área da montanha para designar a ser extraída. Selecione o suficiente de ambos para construir seus estoques de volta até 40 de cada."
TUTORIAL.8.C,,"Be careful with mining! A mined-out area of 7 by 7 tiles without a {{FURNITURE.PILLAR}} built within that area will collapse! ",Tenha cuidado com a mineração! Uma área extraída de 7 por 7 telhas sem um {{FURNITURE.PILLAR}} construído dentro dessa área irá entrar em colapso!
TUTORIAL.CAMERA.A,,"You can use the W, A, S and D keys or the arrow keys to pan the camera around. Moving the cursor to the edge of the screen also pans the camera, but this can be disabled in the options menu.",
TUTORIAL.CAMERA.B,,Scrolling the mouse wheel or pressing the Q and E keys zooms the camera in or out.,
TUTORIAL.CAMERA.C,,"In the lower-right section of the screen is the minimap, and you can click on this to jump the camera to that point. Click on the “Minimap” label to show or hide the minimap.",
TUTORIAL.CAMERA.D,,Try out these camera controls and then click “Next” to proceed.,
TUTORIAL.FINAL.A,,"This covers the basics of playing King under the Mountain. For your next challenge, aim to set up a functioning {{ROOMS.METALWORKS}} with a {{FURNITURE.FORGE}} provided with fuel and refined metal ore. Refined metal ores are produced at the {{FURNITURE.ORE_CRUSHING_STATION}}, and fuel can be crushed from coal or produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} with a {{FURNITURE.CHARCOAL_CLAMP}} in an {{ROOMS.EARTHWORKS}}. Good luck!","Isso cobre o básico de jogar Rei sob a Montanha. Para o seu próximo desafio, aponte para configurar um {{ROOMS.METALWORKS}} funcional com um {{FURNITURE.FORGE}} fornecido com combustível e minério de metal refinado. Minérios metálicos refinados são produzidos no {{FURNITURE.ORE_CRUSHING_STATION}} e o combustível pode ser esmagado a partir de carvão ou produzido a partir de {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} com um {{FURNITURE.CHARCOAL_CLAMP}}. Boa sorte!"
TUTORIAL.PROGRESS_DESCRIPTION.FARM_PLOT_SELECTIONS,Used to show a progress indicator for how many farm plots have a crop selected e.g. 2 of 10 farm plots with a crop assigned,{{ROOMS.FARM.PLURAL}} with a crop assigned,{{ROOMS.FARM.PLURAL}} com uma colheita atribuída
TUTORIAL.PROGRESS_DESCRIPTION.PROFESSIONS_ASSIGNED,Used to show a progress indicator for how many of a certain profession have been assigned e.g. 2 of 10 farmers assigned,{{professionPlural}} assigned,{{professionPlural}} atribuído
TUTORIAL.PROGRESS_DESCRIPTION.TEXT,Used to show a progress indicator in the form: 2 of 10 stone blocks,{{currentQuantity}} of {{requiredQuantity}} {{targetDescription}},{{currentQuantity}} de {{requiredQuantity}} {{targetDescription}}
TUTORIAL.PROGRESS_DESCRIPTION.TILES,Used to show a progress indicator for a certain number of tiles e.g. 2 of 10 farm plot tiles,{{roomName}} tiles,{{roomName}} blocos
TUTORIAL.SAVING.A,,"Your progress is saved automatically at midnight, and also whenever you exit the game. You can also quicksave by pressing the F5 key.",
TUTORIAL.SAVING.B,,"Currently the game only works with a single save file at a time, but during the alpha managing multiple save files will be available.",
TUTORIAL.TIME.A,,"The upper-right section of the screen shows the current date and time, and has controls for the game speed.",
TUTORIAL.TIME.B,,You can press the spacebar to pause or unpause the game.,
TUTORIAL.TIME.C,,"The 1 key sets the game to run at normal speed, while the 2, 3 and 4 keys make the game run at an increasingly faster pace. The game will automatically jump to speed 4 while all your settlers are asleep.",
TUTORIAL.TIME.D,,You can also click the speed icons to change the speed or pause the game.,

VEGETABLE.BARLEY,,Barley,Cevada
VEGETABLE.BARLEY.PLURAL,,Barley,Cevada
VEGETABLE.BARLEY.TOOLTIP,,"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Um grão usado apenas na produção de cerveja. Pode ser plantada em {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTUMN}}."
VEGETABLE.BERSERKER_MUSHROOM,,Berserker mushroom,Cogumelo Berserker
VEGETABLE.BERSERKER_MUSHROOM.PLURAL,,Berserker mushrooms,Cogumelos Berserker
