KEY,NOTES,ENGLISH,SWEDISH
STONE.DOLOSTONE.NOUN,,Dolostone,Dolomit
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.","En sedimentär bergart som oftast består av mineralet dolomit, så det är också känt som dolomitbergart."
STONE.FRONITE.ADJECTIVE,,Frónite,Frónite
STONE.FRONITE.NOUN,,Frónite,Frónite
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,En blåaktig sten som oftast finns på en isig ö i norr. Den har en hög järnhalt.
STONE.GRANITE.ADJECTIVE,,Granite,Granit-
STONE.GRANITE.NOUN,,Granite,Granit
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.","En vanlig typ av magmatisk sten. Den har en stor andel kvarts, vilket gör det bra för att lokalisera vissa ädelstenar."
STONE.LIMESTONE.ADJECTIVE,,Limestone,Kalkstens-
STONE.LIMESTONE.NOUN,,Limestone,Kalksten
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,En ljusfärgad sedimentär bergart som ger ett bra byggmaterial. Det används också som ett flöde i produktionen av {{MEAL.STEEL.NOUN}}.
STONE.MARBLE.ADJECTIVE,,Marble,Marmor-
STONE.MARBLE.NOUN,,Marble,Marmor
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,En metamorf sten som används som ett högkvalitativt material för skulptur och murverk på grund av dess briljanta utseende.
STONE.SANDSTONE.ADJECTIVE,,Sandstone,Sandstens-
STONE.SANDSTONE.NOUN,,Sandstone,Sandsten
STONE.SANDSTONE.TOOLTIP,,"A sedimentary rock composed of sand-like fragments. ",En sedimentär bergart bestående av sandliknande fragment.
STONE.SHALE.ADJECTIVE,,Shale,Lerskiffer-
STONE.SHALE.NOUN,,Shale,Lerskiffer
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,En finkornig sedimentär bergart bestående av trycksatt lera. Det kan lätt brytas i tunna lager.
STONE.SLATE.ADJECTIVE,,Slate,Skiffer-
STONE.SLATE.NOUN,,Slate,Skiffer
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,En metamorf sten som vanligen bildas av {{STONE.SHALE.NOUN}}. Det görs ofta till plattor för takläggning eller skrivning.

TOOL.AXE.NOUN,,Axe,Yxa
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,Används för att hugga ner träd. Det primära verktyget för en {{PROCUS.WOOKCUTER}}.
TOOL.CHISEL.NOUN,,Chisel,Mejsel
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,Används för att skulptera sten till form. Ett av verktygen som används av en {{PROCUS.STONEMASON}}.
TOOL.FISHING.ROD.NOUN,,Fishing rod,Fiskespö
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,Används för att fånga fisk från en vattenkropp. Det primära verktyget för en {{PROFUS.FISHER}}.
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,Kökskniv
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.","Används för att laga mat, särskilt kött."
TOOL.LARGE.HAMMER.NOUN,,Large hammer,Stor hammare
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,Används för att bash stora föremål av sten och metall i form. Det primära verktyget för en {{PROCUS.BLAKSMITH}}.
TOOL.PICKAXE.NOUN,,Pickaxe,Hacka
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,Används för att bryta sten i mindre bitar. Det primära verktyget för en {{Profession.miner}}.
TOOL.PLANE.NOUN,A carpenter's plane,Plane,Hyvel
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,Används för att raka trämöbler och föremål i form. Det primära verktyget för en {{PROCUS.CARPENTER}}.
TOOL.ROLLING.PIN.NOUN,,Rolling pin,Brödkavel
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,Används för att förbereda deg. Ett av de verktyg som används av en {{PROCUS.CHEF}}.
TOOL.SAW.NOUN,A carpenter's saw,Saw,Såg
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,Används för att skära trä i form. Krävs för skärning av virke i {{ROOMS.SAWMILL}}.
TOOL.SMALL.HAMMER.NOUN,,Hammer,Hammare
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,Används för att bash små föremål av sten och metall i form. Ett av verktygen som används av en {{PROCUS.BLACKSMITH}}.
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,Täng
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,Används för att hålla extremt heta metallföremål. Används vid smältning av metallmalm.

TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,{{MaterialType.noun}} träd

TUTORIAL.1.A,,"Your settlers have three basic needs to fulfil: food, drink and somewhere to sleep. Although they will complain about it for now, they can drink from the nearby river and sleep on the ground. What they can’t do is magic up some food from nowhere (at least, not without a mage around!) so we will focus on food to begin with.","Era nybyggare har tre grundläggande behov att uppfylla: mat, dryck och någonstans att sova. Även om de kommer att klaga på det för nu, kan de dricka från den närliggande floden och sova på marken. Vad de inte kan göra är att magi upp lite mat från ingenstans (åtminstone inte utan en magiker runt!) så vi kommer att fokusera på mat till att börja med."
TUTORIAL.1.B,,"The first thing you should do each spring is ensure that enough crops have been planted for the harvest in autumn. Farming is a reliable and sustainable food source, but you need to make sure you have enough crops to feed your population between each annual harvest.","Det första du bör göra varje vår är att se till att tillräckligt många grödor har planterats för skörden på hösten. Jordbruk är en pålitlig och hållbar livsmedelskälla, men du måste se till att du har tillräckligt med grödor för att mata din befolkning mellan varje årlig skörd."
TUTORIAL.1.C,,"A good rule of thumb to follow is to ensure you have 10 tiles of crops being sown for each settler in your population. Currently there are 7 settlers milling around, so go ahead and click “{{GUI.ZONES_LABEL}}” > “{{ROOMS.FARM}}”, and designate / drag out several farm plots on a grassy area.","En bra tumregel att följa är att se till att du har 10 plattor av grödor som sås för varje bosättare i din befolkning. För närvarande finns det 7 nybyggare som fräsar runt, så gå vidare och klicka på ”{{GUI.ZONES_LABEL}}” > ”{{ROOMS.FARM}}”, och ange/dra ut flera gårdsområden på en gräsbevuxen yta."
TUTORIAL.2.A,,"With nothing else to do, your settlers will start preparing these {{ROOMS.FARM.PLURAL}} by tilling the earth to be ready for seeds to be sown. This doesn’t require any special tools or knowledge so everyone should get involved.","Med inget annat att göra, kommer dina nybyggare att börja förbereda dessa {{ROOMS.FARM.PLURAL}} genom att odla jorden för att vara redo för sådd. Detta kräver inga speciella verktyg eller kunskaper så alla bör engagera sig."
TUTORIAL.2.B,,"This prepares the plot to be sown, but you need to select which crop to grow on each farm plot before a farmer will come and plant the relevant seeds. Your settlers have brought with them a selection of different seeds. You can click “Resources” in the upper-right to get a breakdown of all the items in your settlement.","Detta förbereder tomten som ska sås, men du måste välja vilken gröda som ska odlas på varje gård innan en jordbrukare kommer och planterar relevanta frön. Dina bosättare har tagit med sig ett urval av olika frön. Du kan klicka på ”Resurser” längst upp till höger för att få en uppdelning av alla objekt i din kvittning."
TUTORIAL.2.C,,"For the seeds to actually be available to your farmers, they need to be in a stockpile compared to being held in a dwarf’s inventory like they are currently. Click {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GRANARY}} (you can right-click to go back up to a previous menu) and designate an area to be used as a {{STOCKPILE.GRANARY}}, where seeds and grains are stored. ","För att fröna faktiskt ska vara tillgängliga för dina jordbrukare måste de vara i lager jämfört med att de hålls i en dvärgs inventering som de är för närvarande. Klicka på {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GRANARY}} (du kan högerklicka för att gå tillbaka till en tidigare meny) och ange ett område som ska användas som en {{STOCKPILE.GRANARY}}, där frön och korn lagras."
TUTORIAL.3.A,,"After some time your settlers should put items they are not using into stockpiles, like the seeds that are to be sown.","Efter en tid bör dina bosättare lägga saker som de inte använder i lager, som de frön som ska sås."
TUTORIAL.3.B,,"Left-click on each of the {{ROOMS.FARM.PLURAL}} and select a crop to be planted there. Don’t select {{VEGETABLE.BARLEY}} or {{VEGETABLE.HOPS}} for now, as these crops are used in the production of beer, not food.","Vänsterklicka på var och en av {{ROOMS.FARM.PLURAL}} och välj en gröda som ska planteras där. Välj inte {{VEGETABLE.BARLEY}} eller {{VEGETABLE.HOPS}} för tillfället, eftersom dessa grödor används i produktionen av öl, inte mat."
TUTORIAL.4.A,,Your {{PROFESSION.FARMER.PLURAL}} will now get to work sowing the seeds you have selected to these {{ROOMS.FARM.PLURAL}}. Sowing seeds does not require any special tools but you might want to assign more settlers as {{PROFESSION.FARMER.PLURAL}}. Left-click on a settler who is wandering around aimlessly.,"Din {{PROFESSION.FARMER.PLURAL}} kommer nu att få arbeta sådd frön du har valt till dessa {{ROOMS.FARM.PLURAL}}. Såning av frön kräver inga specialverktyg, men du kanske vill tilldela fler bosättare som {{PROFESSION.FARMER.PLURAL}}. Vänsterklicka på en bosättare som vandrar runt planlöst."
TUTORIAL.4.B,,"Clicking on a settler lets you see their name, professions, inventory, needs and happiness. Click on the blank square button next to their other professions to set a 3rd and final profession as a {{PROFESSION.FARMER.NOUN}}.","Genom att klicka på en nybyggare kan du se deras namn, yrken, inventering, behov och lycka. Klicka på den tomma fyrkantiga knappen bredvid sina andra yrken för att ställa in ett tredje och sista yrke som {{PROFESSION.FARMER.NOUN}}."
TUTORIAL.4.C,,"Note that some jobs require the settler to have a specific tool in their inventory, and if none are available in the settlement they won’t work on the jobs that require it. For example, you can assign more settlers as a {{PROFESSION.WOODCUTTER}}, but they can’t chop down trees without an available {{TOOL.AXE.NOUN}}.","Observera att vissa jobb kräver att bosättaren har ett specifikt verktyg i sitt lager, och om inga är tillgängliga i kvittningen fungerar de inte på de jobb som kräver det. Du kan till exempel tilldela fler nybyggare som {{PROFESSION.WOODCUTTER}}, men de kan inte hugga ner träd utan en tillgänglig {{TOOL.AXE.NOUN}}."
TUTORIAL.5.A,,"Your crops will now grow and eventually be harvested by your {{PROFESSION.FARMER.PLURAL}} in the {{SEASON.AUTUMN}}. Some crops can be planted again later in the year and survive through the {{SEASON.WINTER}}, but some do not. To get the most out of your crops, it is best to produce soup from the vegetables harvested, or bread from grain.","Dina grödor kommer nu att växa och så småningom skördas av din {{PROFESSION.FARMER.PLURAL}} i {{SEASON.AUTUMN}}. Vissa grödor kan planteras igen senare under året och överleva genom {{SEASON.WINTER}}, men vissa gör det inte. För att få ut det mesta av dina grödor är det bäst att producera soppa från de skördade grönsakerna eller bröd från spannmål."
TUTORIAL.5.B,,"Let’s get a {{ROOMS.KITCHEN}} set up to produce soup once your crops are ready. Go to the top level menu then {{ZONES.LABEL}} > {{ROOMS.KITCHEN}} and drag out a {{ROOMS.KITCHEN}} area. At this point in the development of King under the Mountain it does not matter if it is outside or indoors, but in the future you’ll want all your rooms to have a ceiling to protect them from the elements.","Låt oss få en {{ROOMS.KITCHEN}} inställd för att producera soppa när dina grödor är klara. Gå till menyn på översta nivån och sedan {{ZONES.LABEL}} > {{ROOMS.KITCHEN}} och dra ut ett {{ROOMS.KITCHEN}} -område. Vid denna punkt i utvecklingen av kung under berget spelar det ingen roll om det är ute eller inomhus, men i framtiden vill du att alla dina rum ska ha ett tak för att skydda dem från elementen."
TUTORIAL.5.C,,"Unlike farm plots, kitchens (and most other rooms) need furniture to function. Click “Furniture” when you have placed a kitchen zone and you’ll be presented with the furniture that can be added. To produce soup, you need to build a {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} and {{FURNITURE.CAULDRON}} in the same kitchen zone. Also, designate a {{STOCKPILE.PANTRY}} area to store any harvested crops.","Till skillnad från gårdsområden behöver kök (och de flesta andra rum) möbler för att fungera. Klicka på ”Möbler” när du har placerat en kökszon och du kommer att presenteras med de möbler som kan läggas till. För att producera soppa måste du bygga en {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} och {{FURNITURE.CAULDRON}} i samma kökszon. Ange också ett {{STOCKPILE.PANTRY}} -område för att lagra alla skördade grödor."
TUTORIAL.6.A,,"When your crops have been harvested, cooks will bring vegetables to the {{FURNITURE.KITCHEN_WORKTOP}} before adding them to the {{FURNITURE.CHEFS_CAULDRON}} with water and producing soup! Making soup and baking bread means your food supplies will go much further - a single vegetable will feed a dwarf for a single meal, but 3 vegetables cooked into soup will provide 12 meals!","När dina grödor har skördats kommer kockar att ta med grönsaker till {{FURNITURE.KITCHEN_WORKTOP}} innan de lägger till dem i {{FURNITURE.CHEFS_CAULDRON}} med vatten och Att göra soppa och baka bröd innebär att dina matvaror kommer att gå mycket längre - en enda grönsak kommer att mata en dvärg för en enda måltid, men 3 grönsaker tillagade i soppa kommer att ge 12 måltider!"
TUTORIAL.6.B,,"Eventually this kitchen will produce a cauldron full of steaming hot soup, but the cooks don’t like other dwarves getting in the way in their kitchen, so instead you need to have the soup brought to a feasting hall for the whole settlement to enjoy. Designate a feasting hall by clicking on {{ZONES.LABEL}} > {{ROOMS.FEASTING_HALL}}, then add a {{FURNITURE.CAULDRON}} to it. Note that a feasting hall cauldron won’t be placed until a cauldron containing thick, delicious soup is available.","Så småningom kommer det här köket att producera en kittel full av ångande varm soppa, men kockarna gillar inte att andra dvärgar kommer i vägen i deras kök, så istället måste du ha soppan till en festsal för hela bosättningen att njuta av. Utse en festsal genom att klicka på {{ZONES.LABEL}} > {{ROOMS.FEASTING_HALL}} och lägg sedan till en {{FURNITURE.CAULDRON}} till den. Observera att en festsal kittel inte kommer att placeras förrän en kittel med tjock, läcker soppa finns tillgänglig."
TUTORIAL.7.A,,Over time you will want to expand your food production but this will keep our small settlement nourished for the upcoming winter - your settlers have brought rations to sustain them while the first crops grow.,Med tiden kommer du att vilja utöka din livsmedelsproduktion men detta kommer att hålla vår lilla bosättning näring för den kommande vintern - dina nybyggare har fört ransoner för att upprätthålla dem medan de första grödorna växer.
TUTORIAL.7.B,,"Most items and furniture are produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} or {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. It’s important to maintain a large supply of these. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} are produced in a {{ROOMS.SAWMILL}}, and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} are crafted by a {{PROFESSION.STONEMASON}} in a {{ROOMS.MASONRY_WORKSHOP}}. Place one of each of these zones, and build a {{FURNITURE.WOODCUTTERS_BENCH}} and {{FURNITURE.STONEMASON_WORKBENCH}} in them.","De flesta föremål och möbler tillverkas av {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} eller {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. Det är viktigt att upprätthålla ett stort utbud av dessa. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} är producerade i {{ROOMS.SAWMILL}} och {{MATERIAL_TYPE.STONE.ADJECTIVE}} är tillverkade av en {{RESOURCE.STONE.BLOCK.PLURAL}} i en {{PROFESSION.STONEMASON}} i {{ROOMS.MASONRY_WORKSHOP}} i {{{{{{{ROM Placera en av var och en av dessa zoner, och bygg en {{FURNITURE.WOODCUTTERS_BENCH}} och {{FURNITURE.STONEMASON_WORKBENCH}} i dem."
TUTORIAL.8.A,,"Now you are ready to produce {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}, but they require other resources to craft them - {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} and {{RESOURCE.STONE.UNREFINED.PLURAL}}. Fortunately these can usually be harvested from the game world quite easily.",Nu är du redo att producera {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} och {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} {{MATERIAL_TYPE.WOOD.ADJECTIVE}} och {{RESOURCE.LOGS.PLURAL}} STONE.OREDERADER.PLURAL}}. Lyckligtvis kan dessa vanligtvis skördas från spelvärlden ganska lätt.
TUTORIAL.8.B,,Select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}} and click-and-drag over trees to let your woodcutters know to cut them down. Similarly you can select select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} and click-and-drag an area of the mountain to designate to be mined. Select enough of both to build your stockpiles back up to 40 of each.,Välj {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}} och klicka och dra över träden för att låta dina skogshuggare veta att hugga ner dem. På samma sätt kan du välja {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} och klicka och dra ett område på berget för att ange att brytas. Välj tillräckligt av båda för att bygga upp dina lager upp till 40 av varje.
TUTORIAL.8.C,,"Be careful with mining! A mined-out area of 7 by 7 tiles without a {{FURNITURE.PILLAR}} built within that area will collapse! ",Var försiktig med gruvdrift! Ett utbrytt område på 7 av 7 brickor utan {{FURNITURE.PILLAR}} byggt inom det området kommer att kollapsa!
TUTORIAL.CAMERA.A,,"You can use the W, A, S and D keys or the arrow keys to pan the camera around. Moving the cursor to the edge of the screen also pans the camera, but this can be disabled in the options menu.",
TUTORIAL.CAMERA.B,,Scrolling the mouse wheel or pressing the Q and E keys zooms the camera in or out.,
TUTORIAL.CAMERA.C,,"In the lower-right section of the screen is the minimap, and you can click on this to jump the camera to that point. Click on the “Minimap” label to show or hide the minimap.",
TUTORIAL.CAMERA.D,,Try out these camera controls and then click “Next” to proceed.,
TUTORIAL.FINAL.A,,"This covers the basics of playing King under the Mountain. For your next challenge, aim to set up a functioning {{ROOMS.METALWORKS}} with a {{FURNITURE.FORGE}} provided with fuel and refined metal ore. Refined metal ores are produced at the {{FURNITURE.ORE_CRUSHING_STATION}}, and fuel can be crushed from coal or produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} with a {{FURNITURE.CHARCOAL_CLAMP}} in an {{ROOMS.EARTHWORKS}}. Good luck!","Detta täcker grunderna i att spela kung under berget. För din nästa utmaning, sikta på att skapa en fungerande {{ROOMS.METALWORKS}} med en {{FURNITURE.FORGE}} försedd med bränsle och raffinerad metallmalm. Raffinerade metallmalmer produceras på {{FURNITURE.ORE_CRUSHING_STATION}}, och bränsle kan krossas från kol eller produceras av {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} med en {{FURNITURE.CHARCOAL_CLAMP}}. Lycka till!"
TUTORIAL.PROGRESS_DESCRIPTION.FARM_PLOT_SELECTIONS,Used to show a progress indicator for how many farm plots have a crop selected e.g. 2 of 10 farm plots with a crop assigned,{{ROOMS.FARM.PLURAL}} with a crop assigned,{{ROOMS.FARM.PLURAL}} med en gröda tilldelad
TUTORIAL.PROGRESS_DESCRIPTION.PROFESSIONS_ASSIGNED,Used to show a progress indicator for how many of a certain profession have been assigned e.g. 2 of 10 farmers assigned,{{professionPlural}} assigned,{{professionPlural}} tilldelad
TUTORIAL.PROGRESS_DESCRIPTION.TEXT,Used to show a progress indicator in the form: 2 of 10 stone blocks,{{currentQuantity}} of {{requiredQuantity}} {{targetDescription}},{{currentQuantity}} av {{requiredQuantity}} {{targetDescription}}
TUTORIAL.PROGRESS_DESCRIPTION.TILES,Used to show a progress indicator for a certain number of tiles e.g. 2 of 10 farm plot tiles,{{roomName}} tiles,{{roomName}} plattor
TUTORIAL.SAVING.A,,"Your progress is saved automatically at midnight, and also whenever you exit the game. You can also quicksave by pressing the F5 key.",
TUTORIAL.SAVING.B,,"Currently the game only works with a single save file at a time, but during the alpha managing multiple save files will be available.",
TUTORIAL.TIME.A,,"The upper-right section of the screen shows the current date and time, and has controls for the game speed.",
TUTORIAL.TIME.B,,You can press the spacebar to pause or unpause the game.,
TUTORIAL.TIME.C,,"The 1 key sets the game to run at normal speed, while the 2, 3 and 4 keys make the game run at an increasingly faster pace. The game will automatically jump to speed 4 while all your settlers are asleep.",
TUTORIAL.TIME.D,,You can also click the speed icons to change the speed or pause the game.,

VEGETABLE.BARLEY,,Barley,Korn
VEGETABLE.BARLEY.PLURAL,,Barley,Korn
VEGETABLE.BARLEY.TOOLTIP,,"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Ett korn som endast används vid produktion av öl. Kan planteras i {{SEASON.SPRING}}, {{SEASON.SOMR}} eller {{SEASON.HENT}}"
VEGETABLE.BERSERKER_MUSHROOM,,Berserker mushroom,Berserker svamp
VEGETABLE.BERSERKER_MUSHROOM.PLURAL,,Berserker mushrooms,Berserker svamp
VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP,,A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,En svamp med en rosa-röd mössa med vita fläckar. Det har hallucinogena egenskaper som krigare ibland använder för att förbereda sig för strid.
VEGETABLE.CARROT,,Carrot,Morot
VEGETABLE.CARROT.PLURAL,,Carrots,Morötter
VEGETABLE.CARROT.TOOLTIP,,"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","En härdig rotgrönsak som överlever {{SEASON.WINTER} -frosten. Morötter växer snabbt men producerar bara en liten gröda. Kan planteras i {{SEASON.SPRING}}, {{SEASON.SOMR}} eller {{SEASON.HENT}}"
VEGETABLE.CORN,,Sweetcorn,Sockermajs
VEGETABLE.CORN.PLURAL,,Sweetcorn,Sockermajs
VEGETABLE.CORN.TOOLTIP,,"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","En spannmålskorn även känd som majs. Den producerar en riklig gröda men tar cirka 2 säsonger att växa och kan inte överleva {{SEASON.WINTER}}, så den kräver plantering i början av {{SEASON.SPRING}}."
VEGETABLE.DEATH_CAP_MUSHROOM,,Death cap mushroom,Död mössa svamp
VEGETABLE.DEATH_CAP_MUSHROOM.PLURAL,,Death cap mushrooms,Död mössa svamp
VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP,,"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.","En mycket giftig svamp med en bred, platt keps. Att äta även en liten mängd kommer nästan säkert att orsaka förgiftning som kan leda till döden."
VEGETABLE.DRAGONFRUIT,,Dragonfruit,Drakfrukt
VEGETABLE.DRAGONFRUIT.PLURAL,,Dragonfruits,Drakfrukter
VEGETABLE.ELFSBANE_MUSHROOM,,Elfsbane mushroom,Elfsbane svamp
VEGETABLE.ELFSBANE_MUSHROOM.PLURAL,,Elfsbane mushrooms,Elfsbane svamp
VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP,,"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.","Denna svamp har en enkel, smaklös smak för de flesta humanoider. Konstigt nog smakar det helt äckligt för älvor, som ofta reagerar med explosiv kräkningar vid konsumtion eller i extrema fall hjärtinfarkt."
VEGETABLE.FIST_MUSHROOM,,Fist mushroom,Knäve svamp
VEGETABLE.FIST_MUSHROOM.PLURAL,,Fist mushrooms,Knäve svamp
VEGETABLE.FIST_MUSHROOM.TOOLTIP,,A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,En svartblå svamp med metallisk smak. Det är uppkallat efter en grupp bards från mörkrets ålder.
VEGETABLE.GLOW_MUSHROOM,,Glow mushroom,Glödsvamp
VEGETABLE.GLOW_MUSHROOM.PLURAL,,Glow mushrooms,Glödsvamp
VEGETABLE.GLOW_MUSHROOM.TOOLTIP,,A magic-infused mushroom that gives off light and changes colour with the seasons.,En magisk svamp som avger ljus och ändrar färg med årstiderna.
VEGETABLE.HOPS,,Hops,Humle
VEGETABLE.HOPS.PLURAL,,Hops,Humle
VEGETABLE.HOPS.TOOLTIP,,A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,En blomma som används för smaksättning av öl. Måste planteras i {{SEASON.SPRING}}.
VEGETABLE.LOQUAT,,Loquat,Loquat
VEGETABLE.LOQUAT.PLURAL,,Loquats,Loquats
VEGETABLE.MILTONIA_MUSHROOM,,Miltonia mushroom,Miltonia svamp
VEGETABLE.MILTONIA_MUSHROOM.PLURAL,,Miltonia mushrooms,Miltonia svamp
VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP,,"Once thought to exist only in the Hudds region, it is now found throughout the world.","En gång tänkt att existera endast i Hudds-regionen, finns det nu över hela världen."
VEGETABLE.POTATO,,Potato,Potatis
VEGETABLE.POTATO.PLURAL,,Potatoes,Potatis
VEGETABLE.POTATO.TOOLTIP,,"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","En stärkelserik rotgrönsak som kan överleva {{SEASON.WINTER}} vilket gör det till ett bra val för de flesta bosättningar. Kan planteras i {{SEASON.SPRING}}, {{SEASON.SOMR}} eller {{SEASON.HENT}}"
VEGETABLE.PURPLE_HELMET_MUSHROOM,,Purple helmet mushroom,Lila hjälm svamp
VEGETABLE.PURPLE_HELMET_MUSHROOM.PLURAL,,Purple helmet mushrooms,Lila hjälm svamp
VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP,,"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.","Fat Hat, Plump Turban, Puffy Hjälm; Denna mytomspunna svamp går med många namn. Legenden hävdar att många samhällen av dvärgar levde helt på en domesticerad stam av denna svamp."
VEGETABLE.ROCIOMYCOTA_MUSHROOM,,Rociomycota mushroom,Rociomycota svamp
VEGETABLE.ROCIOMYCOTA_MUSHROOM.PLURAL,,Rociomycota mushrooms,Rociomycota svamp
VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP,,A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,En vit och svart fläckig svamp. Det har varit känt att påverka utseendet hos dem som intar det.
VEGETABLE.SUNGLOW_MUSHROOM,,Sunglow mushroom,Sunglow svamp
VEGETABLE.SUNGLOW_MUSHROOM.PLURAL,,Sunglow mushrooms,Sunglow svamp
