KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.",又名黄铁矿，因浅黄铜色和明亮的金属光泽常被误认为是黄金。碾碎后用途广泛。，但必须注意安全，因为敲击它会产生火星。
ORE.THORIUM.ADJECTIVE,,Thorium,钍
ORE.THORIUM.NOUN,,Thorium,钍
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,银白色的金属矿物，暴露在大气中会逐渐变为灰色。触摸会感到奇特的温感。
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,黑钨矿
ORE.WOLFRAMITE.NOUN,,Wolframite,黑钨矿
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,会影响冶炼锡的金属矿物。熔炼太高，用普通方法难以冶炼。

OTHER.ASH,,Charred,焦炭
OTHER.BRICK.NOUN,,Brick,砖块
OTHER.CLAY_SOIL.NOUN,,Clay soil,粘土
OTHER.GRASS.NOUN,,,

PRIORITY.DISABLED,,Disabled,禁用
PRIORITY.HIGHER,,Higher,更高
PRIORITY.HIGHEST,,Highest,最高
PRIORITY.LOWER,,Lower,较低
PRIORITY.LOWEST,,Lowest,最低
PRIORITY.NORMAL,,Normal,普通

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,我接受
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,禁用报告
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,King under the Mountain仍处于开发阶段。若想帮助
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,"#NAME?"
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to",诊断和修理BUG，请点击下方的“我接受”
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,自动发送匿名的游戏崩溃报告。
PRIVACY.OPT_IN.LINE_4,," "," "
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,报告仅包含以下数据：
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,"#NAME?"
PRIVACY.OPT_IN.LINE_7,,- Your operating system,"#NAME?"
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,"#NAME?"
PRIVACY.OPT_IN.LINE_9,,- Your options settings,"#NAME?"

PRODUCT.ANVIL,,Anvil,铁砧
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,用来锻捶金属用的铁铸砧板。建造{{FURNITURE.FORGE}所需的物品。
PRODUCT.BARREL.HOOPS,,Barrel hoops,桶箍
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,用来制作{{PRODUCT.BARREL.NOUN}}的金属箍。其他机器可能也会用到。
PRODUCT.BARREL.NOUN,,Barrel,木桶
PRODUCT.BARREL.PLURAL,,Barrels,木桶
PRODUCT.BARREL.STAVES,,Barrel staves,狭木板
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,具有曲度的木板，能用来制作{{PRODUCT.BARREL.NOUN}}。
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,圆柱形的液体容器。弧形的外观让它在地上滚着更轻松。
PRODUCT.BOWL,A bowl for eating from,Bowl,碗
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},{{cooking.soup.description}}碗
PRODUCT.BREAD.DOUGH.NOUN,,Dough,面团
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,面团
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,使用{{FURNITURE.BAKING_OVEN}}能将各种食材烘焙成{{PRODUCT.BREAD.LOAF.PLURAL}}。
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,长条面包
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,长条面包
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!",出炉的面包，准备享用吧！
PRODUCT.BUCKET.NOUN,,Bucket,水桶
PRODUCT.BUCKET.PLURAL,,Buckets,水桶
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,手拎式的小型液体容器。
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,坩埚
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.",{{PROFESSION.CHEF}}在{{ROOMS.KITCHEN}}烹饪的汤羹会送往{{ROOMS.FEASTING_HALL}}。
PRODUCT.LINEN.NOUN,,Linen,亚麻布
PRODUCT.LINEN.PLURAL,,Linen,亚麻布
PRODUCT.LIQUID.TANK,,Tank,水箱
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",用来存储液体的金属容器，可以通过{{FURNITURE.FORGE}}制作获得。
PRODUCT.MILLSTONE,,Millstone,磨石
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,两块巨大的平圆石板，可以用来磨碎谷粒。可以用来制作{{FURNITURE.FLOUR_MILL}}。
PRODUCT.RATION.NOUN,,Ration,干粮
PRODUCT.RATION.PLURAL,,Rations,干粮
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.",虽然能在较长的时间里保障殖民者不饿肚子，但还需要其他食物来源。
PRODUCT.ROPE.NOUN,,Rope,绳索
PRODUCT.ROPE.PLURAL,,Ropes,绳索
PRODUCT.STONE.GEAR.NOUN,,Gear,齿轮
PRODUCT.STONE.GEAR.PLURAL,,Gears,齿轮
PRODUCT.STONE.GEAR.TOOLTIP,,Used in the construction of mechanisms.,各种机械装置都会用到它。
PRODUCT.STONE.PIPE.NOUN,,Pipe,管道
PRODUCT.STONE.PIPE.PLURAL,,Pipes,管道
PRODUCT.STONE.PIPE.TOOLTIP,,Used for liquids to flow between tiles underground.,能用来在地底运输液体。
PRODUCT.WOODEN.SHAFT.HORIZONTAL.NOUN,,Horizontal shaft,连接杆（水平）
PRODUCT.WOODEN.SHAFT.HORIZONTAL.PLURAL,,Horizontal shafts,连接杆（水平）
PRODUCT.WOODEN.SHAFT.HORIZONTAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,能用来连接产生和需求动能的机械装置。
PRODUCT.WOODEN.SHAFT.VERTICAL.NOUN,,Vertical shaft,连接杆（垂直）
PRODUCT.WOODEN.SHAFT.VERTICAL.PLURAL,,Vertical shafts,连接杆（垂直）
PRODUCT.WOODEN.SHAFT.VERTICAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,能用来连接产生和需求动能的机械装置。

PROFESSION.BAKER.VERB,,Baking,烘焙
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,铁匠
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,铁匠
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,既能锻造金属制品，也能从矿石中提炼金属。
PROFESSION.BLACKSMITH.VERB,,Forging,锻造
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,酿酒师
PROFESSION.BREWER.MALE_NOUN,,Brewer,酿酒师
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,在{{ROOMS.BREWERY}}制造啤酒。
PROFESSION.BREWER.VERB,,Brewing,酿制
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,木匠
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,木匠
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,制作木制品和家具。
PROFESSION.CARPENTER.VERB,,Crafting,制作
PROFESSION.CHEF.FEMALE_NOUN,,Chef,厨师
PROFESSION.CHEF.MALE_NOUN,,Chef,厨师
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,为你的殖民者烹饪各类食物以便充饥。
PROFESSION.CHEF.VERB,,Cooking,烹饪
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,农夫
PROFESSION.FARMER.MALE_NOUN,,Farmer,农夫
PROFESSION.FARMER.PLURAL,,Farmers,农夫
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.",种植、养护和收割农作物。
PROFESSION.FARMER.VERB,,Farming,务农
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,渔夫
PROFESSION.FISHER.MALE_NOUN,,Fisher,渔夫
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,在水域捕捉鱼类，用作食物和其他用途。
PROFESSION.FISHER.VERB,,Fishing,钓鱼
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,猎人
PROFESSION.HUNTER.MALE_NOUN,,Hunter,猎人
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,追踪和捕杀野生动物获取肉和毛皮。
PROFESSION.HUNTER.VERB,,Hunting,狩猎
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,市长
PROFESSION.MAYOR.MALE_NOUN,,Mayor,市长
PROFESSION.MAYOR.VERB,,Governing,管理
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,商人
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,商人
PROFESSION.MERCHANT.VERB,,Trading,贸易
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,磨粉
PROFESSION.MINER.FEMALE_NOUN,,Miner,矿工
PROFESSION.MINER.MALE_NOUN,,Miner,矿工
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,使用{{TOOL.PICKAXE}}开采新区域。
PROFESSION.MINER.VERB,,Mining,开采
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,贵族
PROFESSION.NOBLE.MALE_NOUN,,Noble,贵族
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.",贵族不用像普通的殖民者从事劳动，但他们能为你的殖民地带来名望。
PROFESSION.NOBLE.VERB,,Reigning,统治
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,符文师
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,符文师
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.",为武器、盔甲和其他物品附魔符文来增强它们的性能。
PROFESSION.RUNESMITH.VERB,,Enchanting,附魔
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,石匠
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,石匠
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,利用石料制作家具和其他东西。
PROFESSION.STONEMASON.VERB,,Sculpting,雕刻
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,修补匠
PROFESSION.TINKERER.MALE_NOUN,,Tinker,修补匠
PROFESSION.TINKERER.VERB,,Tinkering,修补
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,村民
PROFESSION.VILLAGER.MALE_NOUN,,Villager,村民
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,这类殖民者没有特定的职业，可以完成任何普通的任务，比如搬运东西。
PROFESSION.VILLAGER.VERB,,Working,劳作
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,樵夫
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,樵夫
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,砍伐树木获得供{{ROOMS.SAWMILL}}使用的木材。
PROFESSION.WOODCUTTER.VERB,,Chopping,砍伐

QUOTA.FIXED_AMOUNT,,in total,总计
QUOTA.PER_SETTLER,,per settler,每名殖民者

RACE.BOAR.NOUN,,Wild boar,野猪
RACE.CARP.NOUN,,Carp,鲤鱼
RACE.DEER.FEMALE_NOUN,,Doe,母鹿
RACE.DEER.MALE_NOUN,,Stag,公鹿
RACE.DEER.TOOLTIP,,A deer is a non-threatening herbivore which will flee at any sign of danger,人畜无害的食草动物，遇到危险会逃跑。
RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,矮人
RACE.DWARF.FEMALE_NOUN,,Dwarf,矮人
RACE.DWARF.FEMALE_PLURAL,,Dwarves,矮人
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,矮人
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,矮人
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,矮人
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,他们身材矮小，强壮勇猛。精通金属和石料的工艺。大多数矮人不相信天空，对土地青睐有加。
RACE.ELEPHANT.NOUN,,Elephant,大象
RACE.FOX.FEMALE_NOUN,,Vixen,雌狐
RACE.FOX.MALE_NOUN,,Fox,狐狸
RACE.PERCH.NOUN,,Perch,鲈鱼
RACE.PIKE.NOUN,,Pike,梭子鱼

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,硫酸盐
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,硫酸盐
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),工业用途非常广泛。（硫酸盐的用法尚未在游戏内实装）
RESOURCE.FLOUR.SACK.NOUN,,Flour,面粉
RESOURCE.FLOUR.SACK.PLURAL,,Flour,面粉
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,由谷物研磨而成的粉状物，能用来生产食物。
RESOURCE.GEM.NOUN,,Gem,宝石
RESOURCE.GEM.PLURAL,,Gems,宝石
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,经过打磨和切割工序的宝石更加瑰丽。常用作装饰品。
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,未切割的宝石
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,未切割的宝石
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,未经过加工的原石，经过切割和打磨后能获得宝石。
RESOURCE.GRAIN.SACK.NOUN,,Grain (sack),谷物（袋）
RESOURCE.GRAIN.SACK.PLURAL,,Grain (sack),谷物（袋）
RESOURCE.HEMP.BUNDLE.NOUN,,Hemp bundle,大麻（捆）
RESOURCE.HEMP.BUNDLE.PLURAL,,Hemp bundles,大麻（捆）
RESOURCE.HEMP.FIBRE.BUNDLE.NOUN,,Hemp fibre bundle,大麻纤维（捆）
RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL,,Hemp fibre bundles,大麻纤维（捆）
RESOURCE.LOGS.NOUN,,Log,木材
RESOURCE.LOGS.PLURAL,,Logs,木材
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.",通常会加工成{{RESOURCE.PLANKS.PLURAL}}，但也有其他用途。
RESOURCE.METAL.BLOOM.NOUN,,Bloom,方坯
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,方坯
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,混有熔渣的金属块，必须经过锤炼后塑造成可用的形状。
RESOURCE.METAL.INGOT.NOUN,,Ingot,金属锭
RESOURCE.METAL.INGOT.PLURAL,,Ingots,金属锭
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.",精炼的金属块，能用作制作材料。
RESOURCE.METAL.PLATE.NOUN,,Plate,金属板
RESOURCE.METAL.PLATE.PLURAL,,Plates,金属板
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.",平整的金属板，部分大型机械会用到。
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,蘑菇木
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,蘑菇木
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,用来培养{{INGREDIENT.MUSHROOM.SPAWN.NOUN}}的原木。蘑菇的生长会从原木汲取营养。接种工序完成后需要将它浸在{{FURNITURE.MUSHROOM_SHOCK_TANK}}中。
RESOURCE.MUSHROOM.LUMBER.NOUN,,Mushroom log,蘑菇木
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Mushroom logs,蘑菇木
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,用来培养蘑菇的段木，也可以当普通的{{RESOURCE.LOGS.PLURAL}}使用。
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,碎矿石
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,碎矿石
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.",分解金属原矿时的产物，能送入{{FURNITURE.BLOOMERY_FURNACE}}加工处理。
RESOURCE.ORE.UNREFINED.NOUN,,Ore,矿石
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,矿石
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,含有金属矿物的石头，经过处理后能获得可以使用的金属。
RESOURCE.PLANKS.NOUN,,Plank,木板
RESOURCE.PLANKS.PLURAL,,Planks,木板
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,特定尺寸的木材，适合用于各类建造和制作。
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,蘑菇木
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,蘑菇木
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,注入了菌种的原木在水中受到了“刺激”，应该很快就能收获了。
RESOURCE.STONE.BLOCK.NOUN,,Block,石块
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,石块
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,切割成方块状的石料，便于施工和建造。
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,粗糙的巨石
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,粗糙的巨石
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,巨大的石块，必须由{{PROFESSION.STONEMASON}}雕凿后才能发挥实际用处。
RESOURCE.WHEAT.SACK.NOUN,,Wheat (sack),小麦（袋）
RESOURCE.WHEAT.SACK.PLURAL,,Wheat (sack),小麦（袋）

ROOMS.ARMOURY,,Armoury,兵工厂
ROOMS.ARMOURY.TOOLTIP,,Weapons and armour are created here,生产武器和盔甲的工厂
ROOMS.BEDROOM,,Bedroom,卧室
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.",殖民者睡觉的地方。面积不低于9格的独立卧室就很不错，如果13格以上那就最好不过了。
ROOMS.BREWERY,,Brewery,酿酒厂
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy! Other alcoholic beverages will be implemented in the future.,酿造啤酒让大伙儿乐翻天！其他酒类将会在未来的更新中实装。
ROOMS.BRIDGE,,Bridge,桥
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,连接河流两岸的建筑。
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,木工车间
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,绝大多数的木制工具和物品都产自这间工坊。
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,{{allocated}}/{{total}}当前已用空间
ROOMS.EARTHWORKS,,Earthworks,土木工程
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,大型建筑物的户外区域。
ROOMS.FARM,,Farm plot,农田
ROOMS.FARM.PLURAL,,Farm plots,农田
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,播种{{INGREDIENT.SEEDS.PLURAL}}种植农作物。必须在{{MATERIAL_TYPE.EARTH.NOUN}}上。
ROOMS.FEASTING_HALL,,Feasting hall,宴会厅
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!",殖民者吃喝玩乐的地方！
ROOMS.GRAVEYARD,,Graveyard,墓地
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,死者安息之地。
ROOMS.KITCHEN,,Kitchen,厨房
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,烹饪食物的地方，食物会接着送往{{ROOMS.FEASTING_HALL}}。
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,石工工坊
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,绝大多数石制品都出自这里。
ROOMS.METALWORKS,,Metalworks,金属加工厂
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,金属矿物的冶炼和加工制造就在这里。
ROOMS.MUSHROOM_FARM,,Mushroom farm,蘑菇农场
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.,使用{{INGREDIENT.MUSHROOM.SPAWN.NOUN}}和{{RESOURCE.LOGS.PLURAL}}能培养蘑菇。
ROOMS.SAWMILL,,Sawmill,锯木场
ROOMS.SAWMILL.TOOLTIP,,Wooden {{RESOURCE.LOGS.PLURAL}} are refined into {{RESOURCE.PLANKS.PLURAL}} here.,{{RESOURCE.LOGS.PLURAL}}在这里经过加工后成为{{RESOURCE.PLANKS.PLURAL}}。
ROOMS.STOCKPILE,,Stockpile,贮存处
ROOMS.STOCKPILE.TOOLTIP,,This area stores different kinds of items depending on settings.,存放各类物品的地方，具体根据你的设置而定。
ROOMS.STOCKPILES,,Stockpiles,贮存处
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.,未使用的物品放在这里便于存取。
ROOMS.TEXTILE_WORKSHOP,,Textile workshop,纺织车间
ROOMS.TEXTILE_WORKSHOP.TOOLTIP,,Processes {{SEED.HEMP_SEED}} into textiles for a variety of uses.,将{{SEED.HEMP_SEED}}加工成用途广泛的纺织品。

ROPE.HEMP-ROPE,,Hemp,大麻

RUSTED_SCRAP.NOUN,,Scrap,废料
RUSTED_SCRAP.TOOLTIP,,These are the remains of an item that has completed corroded due to rust.,已经彻底锈蚀的无用之物。

SEASON.AUTUMN,,Autumn,秋季
SEASON.SPRING,,Spring,春季
SEASON.SUMMER,,Summer,夏季
SEASON.WINTER,,Winter,冬季

SEED.BARLEY_SEED,,Barley,大麦
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",仅用于酿制啤酒的谷物。{{SEASON.SPRING}}，{{SEASON.SUMMER}}和{{SEASON.AUTUMN}}都可以种植。
SEED.BERSERKER_MUSHROOM_SPAWN,,Berserker,狂战士
SEED.BERSERKER_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,菌盖呈粉红色且有白色斑点。由于具有致幻性，有时候战士会在准备战斗的时候食用。
SEED.CARROT_SEED,,Carrot,胡萝卜
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",耐寒的根茎类蔬菜，即使在{{SEASON.WINTER}}的森林里也能存活。生长快，但产量较小。{{SEASON.SPRING}}，{{SEASON.SUMMER}}和{{SEASON.AUTUMN}}都可以种植。
SEED.CORN_SEED,,Corn,玉米
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.",别名为玉蜀黍的谷物。产量高，但生长需要两季，而且在{{SEASON.WINTER}}无法存活，因此需要在{{SEASON.SPRING}}初期播种。
SEED.DEATH_CAP_SPAWN,,Death cap,死亡帽
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",菌盖宽扁的剧毒蘑菇。即使食用了少量，也会危及生命。
SEED.ELFSBANE_SPAWN,,Elfsbane,精灵之祸
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.",对绝大多数类人生物而言，这种蘑菇没有味道。但对精灵来说，它的味道恶心至极，食用后常常会导致剧烈呕吐，甚至极端情况下会引发心脏病。
SEED.FIST_SPAWN,,Fist,拳菇
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,蘑菇呈蓝黑色，入口为金属味。黑暗时代的吟游诗人为它取了这个名字。
SEED.GLOW_SPAWN,,Glow,微光菇
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,蕴含魔力的蘑菇，它散发的光芒会随着季节的变化而变色。
SEED.HEMP_SEED,,Hemp,大麻
SEED.HEMP_SEED.TOOLTIP,,Used to produce rope and fabric after it hsa been processed.,经过处理后能制作绳索和布料。
SEED.HOPS_SEED,,Hops,啤酒花
