KEY,NOTES,ENGLISH,POLISH
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,"Umieszczony po drugiej stronie rzeki, aby umożliwić dostęp do drugiej strony."
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,Warsztat stolarski
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,Ten warsztat produkuje większość drewnianych narzędzi i przedmiotów.
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,{{allocated}} z {{total}} spacji aktualnie używanych
ROOMS.EARTHWORKS,,Earthworks,Roboty ziemne
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,Powierzchnia zewnętrzna dla dużych konstrukcji.
ROOMS.FARM,,Farm plot,Działka rolna
ROOMS.FARM.PLURAL,,Farm plots,Działki rolnicze
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,Uprawa upraw przy użyciu {{INGREDIENT.SEEDS.PLURAL}}. Musi być umieszczony na {{MATERIAL_TYPE.EARTH.NOUN}}.
ROOMS.FEASTING_HALL,,Feasting hall,Święto Hall
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!","Miejsce dla osadników, by jeść, pić i być wesołym!"
ROOMS.GRAVEYARD,,Graveyard,Cmentarz
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,Zmarli osadnicy mają tu odpocząć.
ROOMS.KITCHEN,,Kitchen,Kuchnia
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,Większość żywności przygotowywana jest tutaj przed podaniem w {{ROOMS.FEASTING_HALL}}.
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,Warsztat murarski
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,Ten warsztat produkuje większość przedmiotów wykonanych z kamienia.
ROOMS.METALWORKS,,Metalworks,Hala metalowa
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,Ruda metalu jest rafinowana i wykorzystywana w rzemieślniczych tutaj.
ROOMS.MUSHROOM_FARM,,Mushroom farm,Gospodarstwo grzybowe
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.,Grzyby mogą być uprawiane przy użyciu {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} i drewnianych {{RESOURCE.LOGS.PLURAL}}.
ROOMS.SAWMILL,,Sawmill,Tartak
ROOMS.SAWMILL.TOOLTIP,,Wooden {{RESOURCE.LOGS.PLURAL}} are refined into {{RESOURCE.PLANKS.PLURAL}} here.,Drewniane {{RESOURCE.LOGS.PLURAL}} są tutaj udoskonalane do {{RESOURCE.PLANKS.PLURAL}}.
ROOMS.STOCKPILES,,Stockpiles,Skład
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.,Niewykorzystane przedmioty są umieszczane w zapasach dla łatwego dostępu.

SEASON.AUTUMN,,Autumn,Jesień
SEASON.SPRING,,Spring,Wiosna
SEASON.SUMMER,,Summer,Lato
SEASON.WINTER,,Winter,Zima

SEED.BARLEY_SEED,,Barley,Jęczmień
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Ziarno używane tylko do produkcji piwa. Można sadzić w {{SEASON.SPRING}}, {{SEASON.SUMMER}} lub {{SEASON.AUTUMN}}."
SEED.BERSERKER_MUSHROOM_SPAWN,,Berserker,Berserkera
SEED.BERSERKER_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,"Grzyb z różowo-czerwoną czapką z białymi plamami. Ma właściwości halucynogenne, których wojownicy czasami używają w przygotowaniach do bitwy."
SEED.CARROT_SEED,,Carrot,Marchewka
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Warzywo korzeniowe, które przetrwa mróz {{SEASON.WINTER}}. Marchewki rosną szybko, ale tylko produkują małe plony. Można sadzić w {{SEASON.SPRING}}, {{SEASON.SUMMER}} lub {{SEASON.AUTUMN}}."
SEED.CORN_SEED,,Corn,Kukurydza
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","Ziarno zbóż znane również jako kukurydza. Wytwarza obfity plon, ale trwa około 2 sezony i nie może przetrwać {{SEASON.WINTER}}, więc wymaga sadzenia na początku {{SEASON.SPRING}}."
SEED.DEATH_CAP_SPAWN,,Death cap,Czapka śmierci
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.","Bardzo trujący grzyb z szeroką, płaską czapką. Jedzenie nawet niewielkiej ilości prawie na pewno spowoduje zatrucie, które może doprowadzić do śmierci."
SEED.ELFSBANE_SPAWN,,Elfsbane,Elfsbane
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.","Ten grzyb ma prosty, bezsmakowy smak dla większości humanoidów. O dziwo, smakuje absolutnie obrzydliwie dla elfów, które często reagują z wybuchowymi wymiotami po spożyciu lub w skrajnych przypadkach ataku serca."
SEED.FIST_SPAWN,,Fist,Pięść
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,Czarno-niebieski grzyb o metalicznym smaku. Nazwa pochodzi od grupy bardów z epoki ciemności.
SEED.GLOW_SPAWN,,Glow,- Błok
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,"Grzyb w postaci magii, który emituje światło i zmienia kolor wraz z porami roku."
SEED.HOPS_SEED,,Hops,Chmiel
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,Kwiat używany do aromatyzowania piwa. Muszą być sadzone w {{SEASON.SPRING}}.
SEED.MILTONIA_SPAWN,,Miltonia,Miltonia
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.","Kiedyś uważano, że istnieje tylko w regionie Hudds, obecnie znajduje się na całym świecie."
SEED.POTATO_SEED,,Potato,Ziemniak
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Warzywo korzeniowe skrobiowe, które może przetrwać {{SEASON.WINTER}}, co czyni go dobrym wyborem dla większości osad. Można sadzić w {{SEASON.SPRING}}, {{SEASON.SUMMER}} lub {{SEASON.AUTUMN}}."
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,Fioletowy kask
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.","Fat Hat, Plump Turban, Puffy kask; Ten legendarny grzyb przechodzi przez wiele nazw. Legenda głosi, że dawno temu wiele społeczności krasnoludów utrzymywało się w całości na udomowionym szczepie tego grzyba."
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,Rociomycota
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,"Biały i czarny grzyb cętkowany. Wiadomo, że wpływa na wygląd tych, którzy go spożywają."
SEED.SUNGLOW_SPAWN,,Sunglow,Sunglow
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,"Jasnożółty grzyb, który świeci wraz z pojawieniem się światła słonecznego. Traci ten blask w momencie, gdy jest zbierany."
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,Syrop w proszku
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.","Okrągły pomarańczowy/żółty grzyb z białym spodem. Mówi się, że były używane przez magów dawno temu, ale w jakim celu nikt nie wie."
SEED.TOMATO_SEED,,Tomato,Pomidor
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,"Roślina, która rośnie duże czerwone jagody często używane jako warzywo. Można sadzić tylko w {{SEASON.SPRING}}."
SEED.WHEAT_SEED,,Wheat,Pszenica
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.","Ziarno zbóż powszechnie używane do produkcji chleba. Może przetrwać {{SEASON.WINTER}}, ale zajmuje trochę czasu, aby rosnąć, więc jest albo sadzone w {{SEASON.SPRING}} lub {{SEASON.AUTUMN}}."

SHRUB.DESCRIPTION,Shrub or bush should do,Bush,Krzak

STOCKPILE.GRANARY,,Granary,Spichlerz
STOCKPILE.GRANARY.TOOLTIP,,Stores grains and seeds which will not expire.,"Przechowuje ziarna i nasiona, które nie wygasną."
STOCKPILE.PANTRY,,Pantry,Spiżarnia
STOCKPILE.PANTRY.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,"Sklepy zebrane owoce i warzywa, które mogą wygasnąć."
STOCKPILE.RESOURCES,,Resources,Zasoby
STOCKPILE.RESOURCES.TOOLTIP,,Stores most kinds of resources which do not belong to other types of stockpiles.,"Przechowuje większość rodzajów zasobów, które nie należą do innych rodzajów zapasów."
STOCKPILE.TOOLS,,Tools,Narzędzia
STOCKPILE.TOOLS.TOOLTIP,,Stores tools required for working on jobs.,Przechowuje narzędzia wymagane do pracy na zadaniach.

STONE.BASALT.ADJECTIVE,,Basalt,Bazaltowy
STONE.BASALT.NOUN,,Basalt,Bazalt
STONE.BASALT.TOOLTIP,,An igneous rock formed by the rapid cooling of lava. Almost all of the volcanic rock in the world is basalt.,Skała magmowa utworzona przez szybkie chłodzenie lawy. Prawie cała skała wulkaniczna na świecie jest bazalt.
STONE.DOLOSTONE.ADJECTIVE,,Dolostone,Dolomitowy
STONE.DOLOSTONE.NOUN,,Dolostone,Dolomit
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.","Skała osadowa składa się głównie z dolomitu mineralnego, więc znana jest również jako skała dolomitowa."
STONE.FRONITE.ADJECTIVE,,Frónite,Frónite
STONE.FRONITE.NOUN,,Frónite,Frónite
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,Niebieskobarwiona skała najczęściej znaleziona na lodowatej wyspie na północy. Ma wysoką zawartość żelaza.
STONE.GRANITE.ADJECTIVE,,Granite,Granitowy
STONE.GRANITE.NOUN,,Granite,Granit
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.","Powszechny rodzaj skały magmowej. Ma dużą część kwarcu, co czyni go dobrym do lokalizowania niektórych kamieni szlachetnych."
STONE.LIMESTONE.ADJECTIVE,,Limestone,Wapienny
STONE.LIMESTONE.NOUN,,Limestone,Wapień
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,"Jasnokolorowa skała osadowa, która tworzy dobry materiał budowlany. Jest on również stosowany jako strumień w produkcji {{METAL.STEEL.NOUN}}."
STONE.MARBLE.ADJECTIVE,,Marble,Marmurowy
STONE.MARBLE.NOUN,,Marble,Marmur
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,"Metamorficzna skała, która jest wykorzystywana jako wysokiej jakości materiał do rzeźby i murów ze względu na swój wspaniały wygląd."
STONE.SANDSTONE.ADJECTIVE,,Sandstone,Piaskowcowy
STONE.SANDSTONE.NOUN,,Sandstone,Piaskowiec
STONE.SANDSTONE.TOOLTIP,,"A sedimentary rock composed of sand-like fragments. ",Skała osadowa złożona z fragmentów przypominających piasek.
STONE.SHALE.ADJECTIVE,,Shale,Ilasty
STONE.SHALE.NOUN,,Shale,Iłołupek
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,Drobnoziarnista skała osadowa złożona z błota pod ciśnieniem. Można go łatwo podzielić na cienkie warstwy.
STONE.SLATE.ADJECTIVE,,Slate,Łupkowy
STONE.SLATE.NOUN,,Slate,Łupek
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,"Skała metamorficzna, która jest zwykle utworzona z {{STONE.SHALE.NOUN}}. Często jest wykonany w płytki do pokrycia dachowego lub pisania."

TOOL.AXE.NOUN,,Axe,Siekiera
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,Służy do ścinania drzew. Podstawowym narzędziem {{PROFESSION.WOODCUTTER}}.
TOOL.CHISEL.NOUN,,Chisel,Dłuto
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,Używany do rzeźbienia skały w kształt. Jedno z narzędzi używanych przez {{PROFESSION.STONEMASON}}.
TOOL.FISHING.ROD.NOUN,,Fishing rod,Wędka
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,Służy do połowu ryb z wody. Podstawowym narzędziem {{PROFESSION.FISHER}}.
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,Nóż kuchenny
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.","Używany do przygotowywania żywności, w szczególności mięsa."
TOOL.LARGE.HAMMER.NOUN,,Large hammer,Duży młot
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,Służy do rozwalania dużych przedmiotów z kamienia i metalu w kształt. Podstawowym narzędziem {{PROFESSION.BLACKSMITH}}.
TOOL.PICKAXE.NOUN,,Pickaxe,Kilof
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,Służy do rozbicia kamienia na mniejsze kawałki. Podstawowe narzędzie {{PROFESSION.MiNER}}.
TOOL.PLANE.NOUN,A carpenter's plane,Plane,Hebel
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,Służy do golenia drewnianych mebli i przedmiotów w kształt. Podstawowym narzędziem {{PROFESSION.CARPENTER}}.
TOOL.ROLLING.PIN.NOUN,,Rolling pin,Wałek do ciasta
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,Używany do przygotowania ciasta. Jedno z narzędzi używanych przez {{PROFESSION.CHEF}}.
TOOL.SAW.NOUN,A carpenter's saw,Saw,Piła
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,Służy do cięcia drewna na kształt. Wymagane do cięcia tarcicy w {{ROOMS.SAWMILL}}.
TOOL.SMALL.HAMMER.NOUN,,Hammer,Młot
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,Służy do rozwalania drobnych przedmiotów z kamienia i metalu w kształt. Jedno z narzędzi używanych przez {{PROFESSION.BLACKSMITH}}.
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,Cęgi
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,Służy do przechowywania bardzo gorących elementów metalowych. Stosowany w procesie wytapiania rudy metalu.

TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,Drzewo {{materialType.noun}}

TUTORIAL.1.A,,"Your settlers have three basic needs to fulfil: food, drink and somewhere to sleep. Although they will complain about it for now, they can drink from the nearby river and sleep on the ground. What they can’t do is magic up some food from nowhere (at least, not without a mage around!) so we will focus on food to begin with.","Twoi osadnicy mają do spełnienia trzy podstawowe potrzeby: jedzenie, picie i miejsce do spania. Chociaż na razie będą na to narzekać, mogą pić z pobliskiej rzeki i spać na ziemi. To czego nie mogą zrobić, to magiczne jedzenie znikąd (przynajmniej nie bez maga w pobliżu!) więc skupimy się na żywności na początek."
TUTORIAL.1.B,,"The first thing you should do each spring is ensure that enough crops have been planted for the harvest in autumn. Farming is a reliable and sustainable food source, but you need to make sure you have enough crops to feed your population between each annual harvest.","Pierwszą rzeczą, którą powinieneś zrobić każdej wiosny, jest zapewnienie, że jesienią zasadzono wystarczającą ilość plonów. Rolnictwo jest niezawodnym i zrównoważonym źródłem żywności, ale musisz upewnić się, że masz wystarczającą ilość upraw, aby wyżywić swoją populację między poszczególnymi rocznymi zbiorami."
TUTORIAL.1.C,,"A good rule of thumb to follow is to ensure you have 10 tiles of crops being sown for each settler in your population. Currently there are 7 settlers milling around, so go ahead and click “{{GUI.ZONES_LABEL}}” > “{{ROOMS.FARM}}”, and designate / drag out several farm plots on a grassy area.","Dobrą zasadą jest zapewnienie, że każdy osadnik w twojej populacji wysiewa się 10 płytek upraw. Obecnie istnieje 7 osadników, więc śmiało kliknij „{{GUI.ZONES_LABEL}}” > „{{ROOMS.FARM}}” i wyznacz/przeciągaj kilka działek rolnych na trawiastym obszarze."
TUTORIAL.2.A,,"With nothing else to do, your settlers will start preparing these {{ROOMS.FARM.PLURAL}} by tilling the earth to be ready for seeds to be sown. This doesn’t require any special tools or knowledge so everyone should get involved.","Nie mając nic innego do roboty, twoi osadnicy zaczną przygotowywać te {{ROOMS.FARM.PLURAL}}, uprawiając ziemię, aby być gotowym do wysiewu nasion. Nie wymaga to żadnych specjalnych narzędzi ani wiedzy, więc każdy powinien się zaangażować."
TUTORIAL.2.B,,"This prepares the plot to be sown, but you need to select which crop to grow on each farm plot before a farmer will come and plant the relevant seeds. Your settlers have brought with them a selection of different seeds. You can click “Resources” in the upper-right to get a breakdown of all the items in your settlement.","To przygotowuje działkę do wysiewu, ale musisz wybrać, które uprawy rosną na każdej działce, zanim rolnik przyjdzie i zasadzi odpowiednie nasiona. Twoi osadnicy przynieśli ze sobą wybór różnych nasion. Możesz kliknąć „Zasoby” w prawym górnym rogu, aby uzyskać podział wszystkich pozycji w rozliczeniu."
TUTORIAL.2.C,,"For the seeds to actually be available to your farmers, they need to be in a stockpile compared to being held in a dwarf’s inventory like they are currently. Click {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GRANARY}} (you can right-click to go back up to a previous menu) and designate an area to be used as a {{STOCKPILE.GRANARY}}, where seeds and grains are stored. ","Aby nasiona były dostępne dla twoich rolników, muszą znajdować się w magazynie, w porównaniu z byciem przechowywanym w ekwipunku karła, tak jak obecnie. Kliknij {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GRANARY}} (kliknij prawym przyciskiem myszy, aby powrócić do poprzedniego menu) i wyznaczyć obszar, który ma być używany jako {{STOCKPILE.GRANARY}}, w którym przechowywane są nasiona i ziarna."
TUTORIAL.2.D,,Your settlers have also brought a bunch of tools with them what will need moving around. From {{ROOMS.STOCKPILES}} also choose {{STOCKPILE.TOOLS}} and designate another area to be used to store tools.,
TUTORIAL.3.A,,"After some time your settlers should put items they are not using into stockpiles, like the seeds that are to be sown.","Po pewnym czasie twoi osadnicy powinni umieścić przedmioty, których nie używają do zapasów, jak nasiona, które mają być wysiewane."
TUTORIAL.3.B,,"Left-click on each of the {{ROOMS.FARM.PLURAL}} and select a crop to be planted there. Don’t select {{VEGETABLE.BARLEY}} or {{VEGETABLE.HOPS}} for now, as these crops are used in the production of beer, not food.","Kliknij lewym przyciskiem myszy na każdym z {{ROOMS.FARM.PLURAL}} i wybierz uprawy, które mają być tam posadzone. Na razie nie wybieraj {{VEGETABLE.BARLEY}} ani {{VEGETABLE.HOPS}}, ponieważ te rośliny są wykorzystywane do produkcji piwa, a nie żywności."
TUTORIAL.4.A,,Your {{PROFESSION.FARMER.PLURAL}} will now get to work sowing the seeds you have selected to these {{ROOMS.FARM.PLURAL}}. Sowing seeds does not require any special tools but you might want to assign more settlers as {{PROFESSION.FARMER.PLURAL}}. Left-click on a settler who is wandering around aimlessly.,"Twoje {{PROFESSION.FARMER.PLURAL}} będą teraz pracować nad siewem wybranych nasion {{ROOMS.FARM.PLURAL}}. Siew nasion nie wymaga żadnych specjalnych narzędzi, ale można przypisać więcej osadników jako {{PROFESSION.FARMER.PLURAL}}. Kliknij lewym przyciskiem myszy na osadnika, który wędruje bez celu."
TUTORIAL.4.B,,"Clicking on a settler lets you see their name, professions, inventory, needs and happiness. Click on the blank square button next to their other professions to set a 3rd and final profession as a {{PROFESSION.FARMER.NOUN}}.","Kliknięcie na osadnika pozwala zobaczyć ich nazwę, zawody, inwentarz, potrzeby i szczęście. Kliknij pusty kwadratowy przycisk obok innych zawodów, aby ustawić trzeci i ostatni zawód jako {{PROFESSION.FARMER.NOUN}}."
TUTORIAL.4.C,,"Note that some jobs require the settler to have a specific tool in their inventory, and if none are available in the settlement they won’t work on the jobs that require it. For example, you can assign more settlers as a {{PROFESSION.WOODCUTTER}}, but they can’t chop down trees without an available {{TOOL.AXE.NOUN}}.","Należy pamiętać, że niektóre zadania wymagają, aby osadnik miał określone narzędzie w swoim magazynie, a jeśli żadne z nich nie są dostępne w rozliczeniu, nie będzie działać na zadaniach, które go wymagają. Można na przykład przypisać więcej osadników jako {{PROFESSION.WOODCUTTER}}, ale nie można ścinać drzew bez dostępnego {{TOOL.AXE.NOUN}}."
TUTORIAL.5.A,,"Your crops will now grow and eventually be harvested by your {{PROFESSION.FARMER.PLURAL}} in the {{SEASON.AUTUMN}}. Some crops can be planted again later in the year and survive through the {{SEASON.WINTER}}, but some do not. To get the most out of your crops, it is best to produce soup from the vegetables harvested, or bread from grain.","Twoje uprawy będą teraz rosnąć i ostatecznie zostaną zebrane przez {{PROFESSION.FARMER.PLURAL}} w {{SEASON.AUTUMN}}. Niektóre rośliny mogą być sadzone ponownie później w ciągu roku i przetrwać przez {{SEASON.WINTER}}, ale niektóre nie. Aby jak najlepiej wykorzystać swoje uprawy, najlepiej jest wyprodukować zupę z zebranych warzyw lub chleb z ziarna."
TUTORIAL.5.B,,"Let’s get a {{ROOMS.KITCHEN}} set up to produce soup once your crops are ready. Go to the top level menu then {{GUI.ZONES_LABEL}} > {{ROOMS.KITCHEN}} and drag out a {{ROOMS.KITCHEN}} area. At this point in the development of King under the Mountain it does not matter if it is outside or indoors, but in the future you’ll want all your rooms to have a ceiling to protect them from the elements.","Zróbmy {{ROOMS.KITCHEN}} {{ZONES.LABEL}}, aby wyprodukować zupę, gdy twoje zbiory będą gotowe. Przejdź do menu najwyższego poziomu, a następnie {{ROOMS.KITCHEN}} > {{ROOMS.KITCHEN}} i przeciągnij obszar {{ROOMS.Kitchen}}. W tym momencie w rozwoju króla pod Górą nie ma znaczenia, czy jest na zewnątrz czy w pomieszczeniu, ale w przyszłości będziesz chciał, aby wszystkie pokoje miały sufit, aby chronić je przed żywiołami."
TUTORIAL.5.C,,"Unlike farm plots, kitchens (and most other rooms) need furniture to function. Click “Furniture” when you have placed a kitchen zone and you’ll be presented with the furniture that can be added. To produce soup, you need to build a {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} and {{FURNITURE.CAULDRON}} in the same kitchen zone. Also, designate a {{STOCKPILE.PANTRY}} area to store any harvested crops.","W przeciwieństwie do działek rolnych, kuchnie (i większość innych pomieszczeń) potrzebują mebli do funkcjonowania. Kliknij „Meble”, gdy umieścisz strefę kuchenną, a zobaczysz meble, które można dodać. Aby wyprodukować zupę, musisz zbudować {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} i {{FURNITURE.CAULDRON}} w tej samej strefie kuchennej. Należy również wyznaczyć obszar {{STOCKPILE.PANTRY}}, aby przechowywać wszystkie zebrane rośliny."
TUTORIAL.6.A,,"When your crops have been harvested, cooks will bring vegetables to the {{FURNITURE.KITCHEN_WORKTOP}} before adding them to the {{FURNITURE.CAULDRON}} with water and producing soup! Making soup and baking bread means your food supplies will go much further - a single vegetable will feed a dwarf for a single meal, but 3 vegetables cooked into soup will provide 12 meals!","Po zebraniu plonów kucharze przyniosą warzywa do {{FURNITURE.KITCHEN_WORKTOP}}, zanim dodają je do {{FURNITURE.CHEFS_CAULDRON}} z wodą i produkują zupę! Robienie zupy i pieczenie chleba oznacza, że twoje zapasy żywności pójdą znacznie dalej - jedno warzywo nakarmi karła na jeden posiłek, ale 3 warzywa ugotowane do zupy zapewnią 12 posiłków!"
TUTORIAL.6.B,,"Eventually this kitchen will produce a cauldron full of steaming hot soup, but the cooks don’t like other dwarves getting in the way in their kitchen, so instead you need to have the soup brought to a feasting hall for the whole settlement to enjoy. Designate a feasting hall by clicking on {{GUI.ZONES_LABEL}} > {{ROOMS.FEASTING_HALL}}, then add a {{FURNITURE.CAULDRON}} to it. Note that a feasting hall cauldron won’t be placed until a cauldron containing thick, delicious soup is available.","W końcu ta kuchnia wytworzy kocioł pełen gorącej zupy, ale kucharze nie lubią innych krasnoludów wchodząc w drogę do kuchni, więc zamiast tego trzeba mieć zupę przywieziony do sali ucztowej, aby cała osada się cieszyć. Wyznacz salę ucztową klikając na {{ZONES.LABEL}} > {{ROOMS.FEASTING_HALL}}, a następnie dodaj do niej {{FURNITURE.CAULDRON}}. Pamiętaj, że kocioł w sali ucztowej nie zostanie umieszczony, dopóki nie będzie dostępny kocioł zawierający gęstą, pyszną zupę."
